"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,4.724013805E-1,7.181339264E-1,1.915576458E-1,8.806666408E-1
1.021616140E-1,5.039052010E0,2.643302917E0,4.754679203E-1,5.710093275E0
1.071028640E-1,4.813000679E0,2.440541267E0,4.205713868E-1,5.412771703E0
1.120448950E-1,4.590069294E0,2.175651550E0,4.188528657E-1,5.096825827E0
1.169877600E-1,4.354776382E0,1.916543961E0,5.145984292E-1,4.785606507E0
1.219297910E-1,4.168386459E0,1.625141144E0,5.248487592E-1,4.504663765E0
1.268710410E-1,3.993446112E0,1.373139381E0,5.382073522E-1,4.257087122E0
1.318130730E-1,3.791571856E0,1.096023560E0,5.475881100E-1,3.984612593E0
1.367559370E-1,3.655253410E0,9.234266281E-1,5.091018677E-1,3.804310574E0
1.416980200E-1,3.479923725E0,6.987943649E-1,4.935955703E-1,3.583548421E0
1.466392180E-1,3.430758715E0,4.419879913E-1,5.720734000E-1,3.506098504E0
1.515813020E-1,3.285560846E0,1.489925385E-1,6.283943057E-1,3.348430715E0
1.565241140E-1,3.095251560E0,-1.005954742E-1,6.194865108E-1,3.158237674E0
1.614661980E-1,2.969619751E0,-3.710594177E-1,5.633471012E-1,3.045272814E0
1.664074480E-1,2.810939550E0,-6.713495255E-1,5.142629147E-1,2.935397364E0
1.713494790E-1,2.624090910E0,-9.031410217E-1,5.230939388E-1,2.824029759E0
1.762923430E-1,2.371731997E0,-1.184897423E0,5.625282526E-1,2.710264305E0
1.812343750E-1,2.226845264E0,-1.531893253E0,4.752990007E-1,2.744347994E0
1.861756250E-1,2.018222809E0,-1.732686996E0,5.022570491E-1,2.706970572E0
1.911176560E-1,1.838057637E0,-1.851518631E0,5.074083805E-1,2.657826252E0
1.960605200E-1,1.657235384E0,-2.079365730E0,4.699068666E-1,2.700185812E0
2.010025520E-1,1.482189417E0,-2.308422089E0,5.027586818E-1,2.788989835E0
2.059438020E-1,1.347221375E0,-2.531620979E0,4.730973840E-1,2.906532530E0
2.108858850E-1,1.133805275E0,-2.753768444E0,4.803295732E-1,3.016533034E0
2.158286980E-1,9.461147785E-1,-2.934987545E0,5.421246290E-1,3.131003701E0
2.207707810E-1,6.914687157E-1,-3.085513115E0,5.192549825E-1,3.204394780E0
2.257120310E-1,4.873144627E-1,-3.395898342E0,4.461541474E-1,3.459574318E0
2.306540620E-1,1.722717285E-1,-3.670792103E0,4.338040650E-1,3.700348386E0
2.355969270E-1,-5.072546005E-2,-3.901718140E0,4.079439044E-1,3.923314382E0
2.405389580E-1,-3.158860207E-1,-4.080445290E0,4.202219546E-1,4.114171147E0
2.454802080E-1,-5.997242928E-1,-4.182342529E0,4.957966506E-1,4.254112431E0
2.504222390E-1,-9.286780357E-1,-4.340662479E0,5.352666974E-1,4.471051788E0
2.553651040E-1,-1.185489655E0,-4.521883011E0,5.960749984E-1,4.712548895E0
2.603071350E-1,-1.529935837E0,-4.697994232E0,5.959612727E-1,4.976647798E0
2.652483850E-1,-1.862609386E0,-4.815621376E0,6.139268875E-1,5.199656641E0
2.701904680E-1,-2.165690422E0,-4.911693573E0,5.605277419E-1,5.397141846E0
2.751332810E-1,-2.541570663E0,-4.984988213E0,5.528964400E-1,5.622755854E0
2.800753120E-1,-2.992051601E0,-5.050828934E0,6.001781821E-1,5.901140530E0
2.850166140E-1,-3.561425209E0,-5.155131817E0,5.301498771E-1,6.288099273E0
2.899586450E-1,-4.192139149E0,-5.350341320E0,3.113476932E-1,6.804198724E0
2.949015100E-1,-4.799201965E0,-5.431447506E0,1.362155229E-1,7.249242456E0
2.998435410E-1,-5.253920078E0,-5.394415855E0,7.876515388E-3,7.530170028E0
3.047847910E-1,-5.641187191E0,-5.331540108E0,-3.940342367E-2,7.762078683E0
3.097268230E-1,-5.834607601E0,-5.225121975E0,-1.978759766E-1,7.834775071E0
3.146696870E-1,-5.999436855E0,-5.168449879E0,-3.288696408E-1,7.925545531E0
3.196117180E-1,-5.712356567E0,-4.696337700E0,-4.607017934E-1,7.409375917E0
3.245529680E-1,-5.950531006E0,-5.255159378E0,-6.851322055E-1,7.968370315E0
3.294950000E-1,-5.886729717E0,-5.542574406E0,-3.722416461E-1,8.093965755E0
3.344378640E-1,-5.646529198E0,-5.280400753E0,-1.022452831E0,7.798162212E0
3.393799480E-1,-5.758044720E0,-4.383629322E0,-1.327930689E0,7.357627671E0
3.443211450E-1,-5.809310913E0,-4.176556587E0,-1.216848850E0,7.257578063E0
3.492632290E-1,-5.461582184E0,-4.752801895E0,-9.279053807E-1,7.299247509E0
3.542060930E-1,-5.170647621E0,-5.107420921E0,-6.975005269E-1,7.301222656E0
3.591481250E-1,-5.046267509E0,-5.059214115E0,-5.743838549E-1,7.168708395E0
3.640893750E-1,-5.038697243E0,-4.788448334E0,-3.996514678E-1,6.962573421E0
3.690314060E-1,-4.919237137E0,-4.659160137E0,-2.431048155E-1,6.779805834E0
3.739742700E-1,-4.698441505E0,-4.718812943E0,-5.760447681E-2,6.659269212E0
3.789163020E-1,-4.384352684E0,-4.770922184E0,1.304877102E-1,6.480838988E0
3.838575520E-1,-3.975270271E0,-4.852699280E0,3.598068953E-1,6.283384839E0
3.887996350E-1,-3.769755363E0,-4.842466354E0,4.840473831E-1,6.155878310E0
3.937424480E-1,-3.547377586E0,-4.903776169E0,5.067847967E-1,6.073527746E0
3.986845310E-1,-3.300866127E0,-4.971101761E0,4.669665992E-1,5.985451337E0
4.036257810E-1,-3.228698730E0,-5.170909882E0,3.964211047E-1,6.109005990E0
4.085678120E-1,-3.558147430E0,-5.357175827E0,3.097319603E-1,6.438608535E0
4.135106770E-1,-4.038640022E0,-5.596734524E0,2.649742961E-1,6.906827198E0
4.184527080E-1,-4.628565788E0,-5.911094666E0,3.024688661E-1,7.513730686E0
4.233939580E-1,-5.170728683E0,-6.254887581E0,2.681648135E-1,8.119850130E0
4.283359890E-1,-5.843574524E0,-6.799215317E0,1.212167442E-1,8.966124338E0
4.332788540E-1,-6.657934189E0,-7.171477795E0,9.091049433E-2,9.786033218E0
4.382209370E-1,-7.544137001E0,-7.498158455E0,7.485365868E-2,1.063682219E1
