Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0,0,0,0
0.00361448,-0.001561403,-0.003906727,0.004409313,0.006094468
0.008421459,-0.003118753,-0.007811546,0.008822918,0.012189781
0.013228439,-0.00467205,-0.011713505,0.013239861,0.018284643
0.018418387,0.842049837,0.455048084,-0.443358898,1.054838281
0.023608334,0.699068308,0.372205257,-0.361226082,0.870469721
0.028798282,0.615061998,0.297482014,-0.257853031,0.730263648
0.03398823,0.53558898,0.25296402,-0.216617107,0.63068956
0.039178178,0.52457881,0.247204781,-0.138597488,0.596240216
0.044368126,0.432928085,0.165383816,-0.121724606,0.479161156
0.049558074,0.419310331,0.197141171,-0.059659481,0.467167046
0.054748022,1.084089279,0.734841824,0.852694988,1.562795832
0.05993797,0.487610102,0.064938068,0.114266872,0.505012358
0.065127918,0.165625095,-0.74126482,-0.234995365,0.795064794
0.070317866,0.221244335,-0.820449352,-0.50635004,0.98917974
0.075507814,0.067904234,-0.249656677,0.175147533,0.312435753
0.080697762,-0.326267481,0.261790752,0.45446682,0.617677066
0.085887709,-0.624758005,0.191592216,0.478055954,0.809671315
0.091077657,-0.703562975,0.037111759,0.286879539,0.760708888
0.096267605,-0.56735754,-0.091266155,0.129192829,0.588994802
0.101457553,-0.432654858,-0.074775219,0.002524853,0.439076228
0.106647501,-0.413026094,0.102953911,-0.10195303,0.437703647
0.111837449,0.536114931,0.636352539,0.110811234,0.839430106
0.117027397,0.28792429,0.43144989,-0.098673344,0.528001736
0.122217345,-0.014543533,0.052908421,-0.608891487,0.611358862
0.127407293,-0.27626729,-0.119698524,-0.909187317,0.957743666
0.132400157,-0.272108078,0.024260998,-1.011371136,1.047617762
0.137342137,-0.313056946,0.353711128,-0.793749332,0.923663476
0.142284949,-0.352930307,0.490730286,-0.692213058,0.918985818
0.147228595,0.043189287,0.534761906,-0.797637463,0.961280985
0.152171407,0.472858429,0.562454224,-0.630246162,0.968070283
0.157113439,0.291924477,0.270247459,-0.562401772,0.688875418
0.162056251,-0.120147228,-0.182044983,-0.600805283,0.639173466
0.166999897,0.052801371,-0.325411797,-0.433354855,0.544497247
0.171942709,0.153824806,-0.222681046,-0.106640816,0.290897203
0.176884741,0.022015333,-0.264778137,0.233818531,0.353925476
0.181827553,0.012223482,-0.641190529,0.024833202,0.641787656
0.186771147,-0.301629305,-0.138825893,0.210307121,0.393041921
0.191714012,-0.218060732,0.221395493,0.322115898,0.447576919
0.196655991,-0.289197445,0.259214878,0.21082449,0.441898722
0.201598803,-0.466964245,0.034614086,-0.17622757,0.500309801
0.206542449,-0.502915144,-0.099657059,-0.487235069,0.707285787
0.211485262,-0.515488386,-0.105948448,-0.590940475,0.791305248
0.216427293,-0.528202772,-0.022489071,-0.536566734,0.753264752
0.221370105,-0.679110527,0.188252926,-0.467623234,0.845755142
0.226313751,-0.213006973,-0.784733772,-0.770770073,1.120386348
0.231256564,-0.216380596,-0.755198956,-1.192774773,1.428235864
0.236198595,-0.22613883,-0.235118389,-0.857346058,0.91731221
0.241141407,-0.023242235,0.032700062,-0.38208437,0.384184801
0.246085001,-0.349802971,0.341223717,-0.04333353,0.490584894
0.251027866,-0.557916164,0.29064703,0.038079262,0.630235014
0.255969845,-0.682235956,0.13922739,0.112012386,0.705249559
0.260912657,0.159867764,-0.66971159,-0.42040062,0.806726717
0.265856303,-0.055589199,-0.725750923,-0.778458118,1.065739932
0.270799116,-0.257120371,-0.374808311,0.146334648,0.477499722
0.275741147,-0.011762857,-0.425917149,-0.076145649,0.432830154
0.280683959,-0.172447443,-0.208982944,0.200007915,0.33677167
0.285627605,-0.224269867,-0.14496994,0.121840477,0.293527441
0.290570418,-0.203949213,-0.231413841,0.013018131,0.308734707
0.295512397,-0.389809608,-0.039709091,0.283287525,0.483508185
