Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.011133805,0,0,0,0
0.015940784,-0.000366032,0.000965595,-0.000413895,0.001112503
0.020747764,-0.000732124,0.001930714,-0.000826836,0.002224257
0.025959378,-0.00114435,0.003017902,-0.001292229,0.003476654
0.030901201,-0.001517534,0.004002571,-0.001713753,0.004610904
0.035842243,-0.085685134,0.048881531,-0.04203701,0.107230856
0.040784118,-0.10076654,0.023077011,-0.053177834,0.116251133
0.045726722,-0.05112201,0.01982975,-0.082889557,0.099384896
0.050668597,-0.041853726,0.08109808,-0.082951546,0.123327174
0.055609639,-0.036189973,0.074764729,-0.099127769,0.129328239
0.060551462,-0.035759509,0.082819462,-0.191011429,0.211241974
0.065494118,0.010424018,0.156727791,-0.195632935,0.250887436
0.070435993,0.002299547,0.111125469,-0.232207298,0.257438123
0.075377034,-0.003007174,0.091669559,-0.185299873,0.206756848
0.080318857,-0.02585113,0.069509506,-0.149172783,0.166590431
0.085261514,-0.015959918,0.040064812,-0.118215561,0.125836509
0.090203389,-0.022485614,0.073345661,-0.170660973,0.187110546
0.09514443,0.007451117,0.050764084,-0.200435638,0.206898421
0.100086253,-0.023857117,0.028304577,-0.208187103,0.21145255
0.105028909,0.043786049,0.032300949,-0.1707201,0.179181255
0.109970732,0.121573985,-0.029871941,-0.087568283,0.152776866
0.114911774,0.195749938,-0.077952385,0.000828743,0.210701921
0.119853649,0.240041256,-0.018861294,0.055622101,0.247122178
0.124796305,0.208392024,-0.022219658,0.172501564,0.271436435
0.129738128,0.126830399,-0.044086933,0.165456772,0.213085784
0.13467917,0.049636424,-0.097457409,0.138140678,0.176194688
0.139621045,-0.021685421,-0.100391865,0.040411949,0.110371689
0.144563701,-0.064685166,-0.026930809,0.008400917,0.070569218
0.149505524,-0.059695721,-0.045901775,0.023560524,0.07890279
0.154446566,-0.06404382,-0.059382439,0.031148911,0.092726153
0.159388441,-0.047542751,-0.077111244,-0.044878006,0.101096452
0.164331097,-0.099066257,-0.066624641,-0.023420334,0.121661326
0.16927292,-0.096335411,-0.068421841,-0.055823326,0.130683983
0.174213962,-0.122442424,-0.072902679,-0.056866646,0.153429995
0.179155784,-0.165179133,-0.065897465,-0.099589348,0.203825073
0.184098441,-0.170863867,-0.038390636,-0.073482513,0.189915723
0.189040316,-0.208099544,-0.065623283,-0.080428123,0.232552185
