Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0.017447352,0.113988876,0.225119352,0.252935954
0,0.018433809,0.097976685,0.190662622,0.21515453
0,0.019707322,0.08601284,0.164483547,0.186658577
0,-0.042670131,0.264019012,-1.128773212,1.160024027
0.001652511,-0.034797668,0.237893105,-1.018308163,1.046305654
0.006840949,-0.071315169,0.17302227,-0.856539726,0.876745608
0.012029386,-0.061555147,0.15887928,-0.787805319,0.806020398
0.017217824,-0.10827744,0.15355587,-0.601685524,0.630340288
0.022406261,-0.096765518,0.142850876,-0.56137228,0.587289345
0.027594699,-0.108893037,0.10453701,-0.472989798,0.496492728
0.032783136,-0.098327994,0.09826088,-0.446101904,0.467258498
0.037971574,-0.12484324,0.043164253,-0.318887472,0.345164029
0.043160011,-0.114155054,0.041021347,-0.303848505,0.327166687
0.048348449,-0.127075672,0.052725792,-0.186201334,0.231514951
0.053536886,-0.055556417,0.06626606,-0.172743797,0.193178999
0.058725324,-0.012667894,0.072488785,-0.121593237,0.142126756
0.063913761,0.068968534,0.070973396,-0.103438139,0.143154917
0.069102199,0.037326694,0.119832993,-0.069564819,0.143500844
0.074290636,0.064394712,0.134608269,-0.091756344,0.175172177
0.079479074,0.074495673,0.114413261,-0.124287605,0.184627757
0.084667511,0.068262696,0.095158577,-0.086648941,0.145681123
0.089855949,0.03474021,0.088235855,-0.029639482,0.099352641
0.095044386,0.053177834,0.067791939,0.030085325,0.091262017
0.100232824,-0.000747442,-0.000458717,0.136594057,0.136596872
0.105421261,-0.023172498,-0.006302834,0.117383957,0.119815206
0.110609699,-0.026730895,-0.039772987,0.159367561,0.166416498
0.115798136,-0.01894331,-0.039776802,0.179521084,0.184848215
0.120986574,0.034883618,-0.079377174,0.255331278,0.269651004
0.125983605,0.075349927,-0.043616295,0.308618307,0.320663768
0.130924959,0.075148344,-0.04393959,0.30530858,0.317476441
0.135867146,0.098579407,-0.000219345,0.363226175,0.376365782
0.140810115,0.044771433,-0.023035049,0.336339474,0.340087248
0.145752303,0.004131079,-0.043047905,0.29210186,0.295285768
0.150693657,-0.065758467,-0.043931961,0.242239237,0.254821587
0.155635844,-0.045375586,-0.044773102,0.233371973,0.241921583
0.160578813,-0.086346388,-0.052448273,0.172941685,0.200288158
0.165521001,-0.135917664,-0.076117516,0.146163225,0.21361455
0.170462407,-0.175285816,-0.056939125,0.138102531,0.230303041
0.175404594,-0.193092227,-0.059017181,0.188050508,0.275917795
0.180347563,-0.192329288,-0.096037865,0.339698792,0.402006337
0.185289751,-0.189700365,-0.08070755,0.349972963,0.406178547
0.190231105,-0.168673754,-0.126681328,0.42361331,0.473230631
0.195173292,-0.148338437,-0.113266945,0.519813776,0.552304313
0.200116261,-0.145072818,-0.144996643,0.580013514,0.615212016
0.205058449,-0.149251342,-0.160049438,0.682634115,0.716855021
0.209999803,-0.205305636,-0.156476021,0.796579599,0.837361456
0.21494199,-0.147759557,-0.188663483,0.729179859,0.767548085
0.219885011,-0.133725882,-0.201909065,0.793771744,0.829893646
0.224827146,-0.12696147,-0.196574211,0.712959766,0.750381412
0.229768553,-0.122516394,-0.15411377,0.662993431,0.691607989
0.23471074,-0.233241498,-0.126820564,0.530216694,0.592971158
0.239653709,-0.215006173,-0.083703995,0.386186123,0.449859683
0.244595896,-0.293594062,-0.14719677,0.228191137,0.399919439
0.249537251,-0.349836826,-0.150654793,0.107785702,0.39585405
0.254479438,-0.391318977,-0.146863937,0.007822275,0.418043952
0.259422459,-0.45836705,-0.13586998,0.076058865,0.484092919
0.264364594,-0.482598126,-0.134324074,0.062774181,0.504860878
0.269306001,-0.55189985,-0.163220406,0.15283227,0.595476321
0.274248188,-0.521791041,-0.167927742,0.191568375,0.580658298
0.279191157,-0.497326791,-0.172422409,0.212820053,0.567763859
0.284133344,-0.424121976,-0.136702538,0.309031487,0.542279904
0.289074699,-0.371239543,-0.148701668,0.335552931,0.52204095
0.294016886,-0.338333368,-0.153541565,0.416315317,0.557999035
0.298959907,-0.305971503,-0.144276619,0.451457739,0.564135085
0.303902042,-0.285929322,-0.132967949,0.474899054,0.570057158
0.308843449,-0.252184629,-0.152655602,0.512727022,0.591430316
0.313785636,-0.216717064,-0.200572014,0.47273922,0.557384776
0.318728605,-0.167651772,-0.229084015,0.447923422,0.530303681
0.323670792,-0.128856957,-0.174621582,0.402428389,0.457214851
0.328612146,-0.107140005,-0.146892548,0.296185017,0.347536998
0.333554334,-0.092635691,-0.131309509,0.198247671,0.25519737
0.338497303,-0.049743295,-0.096928596,0.155514956,0.189880093
0.34343949,-0.11585027,-0.13138485,0.148196697,0.229446126
0.348380896,-0.117286861,-0.181759834,0.175753117,0.278714914
0.353323084,-0.149402559,-0.283279419,0.249383926,0.405907251
0.358266053,-0.152782679,-0.291169167,0.288381577,0.437362509
0.36320824,-0.134917855,-0.303539276,0.371248007,0.498160619
0.368149594,-0.145713866,-0.339326859,0.483500242,0.608397676
0.373091782,-0.08300966,-0.327350616,0.530342817,0.628738844
0.378034803,-0.03974843,-0.327412605,0.588514805,0.674632216
0.382976938,0.017545104,-0.332302094,0.558569193,0.65017848
0.387918344,0.039033175,-0.332583427,0.564862728,0.656662186
0.392860532,0.037039399,-0.309323311,0.564175606,0.644474159
0.397803501,-0.016699553,-0.269889832,0.4761796,0.547600591
0.402745688,-0.005604267,-0.230985641,0.330103397,0.40293179
0.407687094,-0.043999791,-0.218529701,0.211412668,0.307223906
0.41262923,-0.027478218,-0.198937416,0.095756054,0.222486786
0.417572251,-0.013269782,-0.191216469,0.077686548,0.206821239
0.422514438,-0.051192582,-0.188157082,0.056805372,0.203102482
0.427455792,-0.062636435,-0.142389297,0.064170122,0.16827311
0.43239798,-0.035956502,-0.149094582,0.01884079,0.154521971
0.437340949,-0.016558766,-0.136686325,0.009127617,0.137987889
0.442283136,0.007390261,-0.166952133,0.015701056,0.167851583
0.447224542,-0.021001816,-0.154177666,0.114313364,0.193078673
