Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.014367041,0,0,0,0
0.01917402,0.002472878,-0.000198364,-0.000386715,0.002510781
0.023980999,0.073576689,-0.049874306,0.011995792,0.089693225
0.029170843,0.066366196,-0.050303459,0.046066761,0.095168568
0.034360686,0.088007927,-0.04634285,0.084048748,0.130219995
0.03955053,0.049863219,-0.036997318,0.045378208,0.076904642
0.044701103,0.045237184,-0.013625622,0.0422616,0.06338851
0.049643811,-0.008329153,0.012840271,0.025780201,0.029981096
0.054587353,-0.05394423,0.002521992,-0.018251419,0.057003988
0.059530061,-0.119374871,0.027745724,-0.021473408,0.124423841
0.064471936,-0.138711095,0.092313766,-0.018081188,0.16759931
0.069414645,-0.194896817,0.079854488,-0.04583931,0.2155522
0.074358134,-0.217182755,0.04681921,0.009995461,0.222396711
0.079300843,-0.227316737,0.055162907,0.050120354,0.239223525
0.08424277,-0.25670135,0.009353161,0.170998573,0.308583177
0.089185478,-0.281848907,-0.027101994,0.2295084,0.364482414
0.094128968,-0.246635437,-0.055164337,0.290624142,0.385142226
0.099071676,-0.242159247,-0.064276218,0.28676796,0.38079968
0.104013603,-0.221354842,-0.057632923,0.34585619,0.41465169
0.108956311,-0.12100637,-0.024590969,0.308001518,0.331831572
0.113899801,-0.083383918,0.008829594,0.282262325,0.294453493
0.118842509,-0.03455627,0.049847126,0.183096886,0.192881677
0.123784436,0.069025278,0.061785698,0.134400368,0.16323425
0.128727145,0.149918675,0.103532791,0.060101986,0.191851236
0.133670634,0.175091863,0.095993042,0.036623478,0.203010107
0.138613343,0.236791968,0.075620174,0.043378353,0.252330197
0.14355527,0.244024634,0.107376575,0.014678478,0.267007882
0.148497978,0.263553619,0.09710741,0.080973625,0.292313338
0.153441468,0.285846472,0.106212616,0.172213554,0.350209699
0.158384176,0.260043025,0.052900791,0.306432724,0.405366356
0.163326103,0.271026611,-0.003441811,0.452862263,0.527779783
0.168268811,0.203897119,-0.014362335,0.539772987,0.577178646
0.173212301,0.253608584,-0.109115601,0.608745575,0.668427037
0.178155009,0.128476858,-0.078748703,0.693130016,0.709321423
0.183096936,0.004982114,-0.089553356,0.548461914,0.555747331
0.188039593,-0.066192746,-0.103114128,0.543952942,0.557583004
0.192983134,-0.128736734,-0.026183128,0.389303207,0.410871866
0.197925843,-0.159848452,-0.019430161,0.30960083,0.348972395
0.202867718,-0.116243601,0.03569746,0.137104034,0.183260469
0.207810426,-0.109275699,0.070693016,0.029916286,0.133542746
0.212753968,-0.049079657,0.125957012,-0.067629337,0.151154586
0.217696676,0.025877833,0.126394749,-0.198088169,0.23639843
0.222638551,0.09211421,0.199698448,-0.216048241,0.308287756
0.227581259,0.107979894,0.157226563,-0.304403305,0.35922308
0.232524801,0.128722429,0.163131714,-0.276919842,0.346216722
0.237467509,0.109746575,0.099285603,-0.288343906,0.324105153
0.242409384,0.108113766,0.086716175,-0.337968349,0.365281928
0.247352093,0.062507272,0.011517525,-0.244211674,0.252347288
0.252295634,-0.012267947,-0.057185173,-0.157528877,0.168035692
0.257238291,-0.118362546,-0.065610409,-0.079982281,0.157199183
0.262180218,-0.135781646,-0.172409058,0.017112255,0.220123528
0.267122926,1.116920829,-0.394709587,-0.380548,1.244236544
0.272066416,0.549847722,-0.368762493,-0.066166401,0.665354256
0.277009124,-0.129953146,-0.269262791,0.301959038,0.424934737
0.281951051,-0.862723947,0.106798172,0.657670498,1.090059146
0.286893759,-0.788726211,0.270665169,0.340666294,0.900778659
0.291837249,-0.731434107,0.118504047,0.222887039,0.773768502
0.296779957,-0.593363523,-0.254849434,-0.125274658,0.65781627
0.301721884,-0.438824952,-0.292148113,-0.338484287,0.626489801
0.306664593,-0.317754269,-0.205424786,-0.492835999,0.621332793
0.311608082,0.782999992,-0.294743538,-1.497044563,1.714965063
0.316550791,0.102953553,0.085003853,-0.428403378,0.448725465
0.321492718,0.024744749,0.131292343,-0.390429497,0.412656242
0.326435426,-0.214321613,0.492779255,-0.157749176,0.560044597
0.331378916,-0.194323421,0.63001585,-0.364905357,0.753549921
0.336321624,-0.108130932,0.32242012,-0.29315567,0.448984721
0.341263551,-0.005175591,-0.074521542,-0.177919388,0.192965166
0.346206207,0.023124099,-0.267365456,-0.175420284,0.320610803
0.351149749,0.183238626,-0.376845837,-0.281985283,0.505079081
0.356092457,0.171376824,-0.399693489,-0.250455856,0.501849616
0.361034332,0.037583232,-0.405356884,-0.06421423,0.412128827
0.365977041,-0.07943809,-0.356592655,-0.031954288,0.366728521
0.370920582,0.120271444,-0.454871655,-0.052408218,0.473413206
0.375863291,0.020817161,-0.393433571,-0.037640095,0.395777849
0.380805166,-0.003309369,-0.351882458,-0.037287712,0.35386804
0.385747874,0.054431081,-0.339104176,-0.120071411,0.363828982
0.390691416,-0.017315626,-0.27707243,-0.128623009,0.305962155
0.395634124,-0.044614434,-0.078456402,-0.147089005,0.172571811
0.400575999,-0.025939941,-0.026325226,-0.144439697,0.149093005
0.405518707,-0.113203406,0.084498405,-0.073652744,0.159310133
0.410462249,-0.087729454,0.083133698,-0.20512867,0.238087043
0.415404957,-0.022301555,0.093957901,-0.297531128,0.312810196
0.420346832,-0.045176744,0.038907051,-0.356215477,0.361170545
0.425289541,0.033910513,-0.029079437,-0.457426071,0.459602162
