"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.120637000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
9.927616000E-3,-8.935928345E-4,5.478858948E-4,5.662441254E-4,1.191351970E-3
1.473459500E-2,-1.787185669E-3,1.095771790E-3,1.132965088E-3,2.382930616E-3
1.954157400E-2,-2.680301666E-3,1.643657684E-3,1.700401306E-3,3.574491881E-3
2.434855300E-2,4.675855637E-1,7.114076614E-2,-1.471233368E-1,4.953206478E-1
2.953871000E-2,3.920621872E-1,6.623315811E-2,-2.412190437E-1,4.650658200E-1
3.472886600E-2,2.749481201E-1,6.389284134E-2,-2.609989643E-1,3.844466456E-1
3.986433500E-2,1.552047729E-1,2.962732315E-2,-2.585916519E-1,3.030444559E-1
4.480813700E-2,4.918622971E-2,2.086591721E-2,-2.158980370E-1,2.224109576E-1
4.975115700E-2,-2.835988998E-2,-8.318424225E-3,-1.219918728E-1,1.255209009E-1
5.469501200E-2,-4.254579544E-2,-2.188014984E-2,3.497838974E-3,4.796999629E-2
5.963964700E-2,-6.468105316E-2,-4.546785355E-2,1.668403149E-1,1.846257160E-1
6.458344900E-2,-8.999586105E-2,-3.465175629E-3,7.790064812E-2,1.190788538E-1
6.952652200E-2,-1.207098961E-1,7.331180573E-2,1.758444309E-1,2.255366129E-1
7.447032400E-2,-1.477699280E-1,8.725547791E-2,2.614498138E-1,3.127386692E-1
7.941496000E-2,-1.738100052E-1,6.256961823E-2,4.124426842E-1,4.519223858E-1
8.435881400E-2,-2.035236359E-1,-7.724761963E-3,5.336303711E-1,5.711767811E-1
8.930183500E-2,-1.949315071E-1,-7.949399948E-2,6.669914722E-1,6.994249155E-1
9.424563700E-2,-2.350206375E-1,-1.664900780E-1,7.085869312E-1,7.648850144E-1
9.919027200E-2,-2.442593575E-1,-1.912169456E-1,7.111635208E-1,7.758737702E-1
1.041341260E-1,-2.811942101E-1,-1.772379875E-1,7.129824162E-1,7.866558420E-1
1.090771470E-1,-3.493332863E-1,-1.374974251E-1,6.748893261E-1,7.722790229E-1
1.140210010E-1,-4.018654823E-1,-1.209087372E-1,6.555466652E-1,7.783676630E-1
1.189656370E-1,-4.350209236E-1,-9.873676300E-2,6.215534210E-1,7.650626167E-1
1.239094390E-1,-4.723834991E-1,-9.174442291E-2,6.094884872E-1,7.765561316E-1
1.288524600E-1,-4.931735992E-1,-9.222650528E-2,5.651299953E-1,7.557101554E-1
1.337963140E-1,-5.326843262E-1,-1.320376396E-1,5.677340031E-1,7.896254985E-1
1.387409490E-1,-5.557160378E-1,-1.496868134E-1,5.552823544E-1,7.997280474E-1
1.436848030E-1,-5.421419144E-1,-1.575293541E-1,6.069700718E-1,8.289427126E-1
1.486278240E-1,-5.116558075E-1,-1.350612640E-1,6.328318119E-1,8.249298834E-1
1.535716260E-1,-4.531049728E-1,-7.400321960E-2,6.616346836E-1,8.053204626E-1
1.585162620E-1,-3.578472137E-1,-1.024580002E-2,6.723291874E-1,7.616995084E-1
1.634601160E-1,-2.193493843E-1,3.741741180E-2,6.164081097E-1,6.553420273E-1
1.684031370E-1,-1.175475121E-1,8.818721771E-2,5.349731445E-1,5.547888502E-1
1.733469910E-1,-1.143836975E-2,1.185703278E-1,4.542319775E-1,4.695917890E-1
1.782916260E-1,5.485582352E-2,1.058392525E-1,4.136302471E-1,4.304661311E-1
1.832354280E-1,8.261680603E-2,6.269598007E-2,3.980183601E-1,4.113088105E-1
1.881785010E-1,3.306627274E-2,2.488279343E-2,3.883118629E-1,3.905107357E-1
1.931223030E-1,5.745887756E-3,1.561355591E-2,4.034211636E-1,4.037640816E-1
1.980669390E-1,-2.206325531E-3,2.003908157E-2,4.101793766E-1,4.106745106E-1
2.030107930E-1,8.828163147E-3,6.573629379E-2,3.668165207E-1,3.727647470E-1
2.079538140E-1,1.242208481E-2,8.651161194E-2,2.886314392E-1,3.015736641E-1
2.128976680E-1,5.066871643E-2,5.968046188E-2,1.600811481E-1,1.781994679E-1
2.178423030E-1,6.912279129E-2,6.825208664E-2,1.222367287E-1,1.561349591E-1
2.227861050E-1,1.294240952E-1,7.156991959E-2,8.138465881E-2,1.688085083E-1
2.277291260E-1,2.309961319E-1,6.492328644E-2,7.718873024E-2,2.520562361E-1
2.326729800E-1,3.028941154E-1,9.997701645E-2,1.041452885E-1,3.355391037E-1
2.376176160E-1,3.506174088E-1,1.148614883E-1,1.521990299E-1,3.991118559E-1
