"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.388364600E-2,-3.600592613E-1,5.003223419E-1,-1.636848450E-1,6.377757019E-1
9.882703200E-2,-3.544001579E-1,4.381723404E-1,-6.803894043E-2,5.676475749E-1
1.037711980E-1,-3.839058876E-1,4.071335793E-1,-8.878278732E-2,5.665896798E-1
1.087145840E-1,-3.735876083E-1,3.902029991E-1,-1.666240692E-1,5.653226177E-1
1.136571880E-1,-2.945346832E-1,3.158926964E-1,-2.727141380E-1,5.107953370E-1
1.186005730E-1,-1.644315720E-1,2.370963097E-1,-3.703112602E-1,4.694494982E-1
1.235447400E-1,-6.711578369E-2,1.700348854E-1,-4.537301064E-1,4.891701136E-1
1.284881250E-1,-3.097629547E-2,1.583814621E-1,-4.895882607E-1,5.155006143E-1
1.334306770E-1,-4.269685745E-1,-3.354449272E-1,-5.834484100E-1,7.970178856E-1
1.383740630E-1,-2.576656342E-1,-4.033041000E-2,-2.892451286E-1,3.894622773E-1
1.433182300E-1,-3.335990906E-1,-7.534933090E-2,-1.739964485E-1,3.837194796E-1
1.482616150E-1,1.940541267E-1,4.448246956E-1,3.255176544E-2,4.864006901E-1
1.532041670E-1,5.068726540E-1,6.196150780E-1,-7.316398621E-2,8.038629865E-1
1.581475520E-1,5.595045090E-1,3.210263252E-1,-2.822909355E-1,7.041245411E-1
1.630917190E-1,4.753918648E-1,-7.411479950E-3,-2.945585251E-1,5.593005273E-1
1.680351050E-1,3.233451843E-1,-1.426520348E-1,3.175926208E-2,3.548385013E-1
1.729777090E-1,1.903061867E-1,-1.164546013E-1,4.074230194E-1,4.645122556E-1
1.779210940E-1,9.860324860E-2,-5.033969879E-2,6.530561447E-1,6.623737722E-1
1.828652610E-1,5.226135254E-3,5.994319916E-3,7.626605034E-1,7.627019652E-1
1.878086460E-1,-8.533811569E-2,-4.029893875E-2,7.023110390E-1,7.086235911E-1
1.927511980E-1,-1.153116226E-1,-9.525108337E-2,5.624442101E-1,5.819905743E-1
1.976945840E-1,-1.567835808E-1,-7.663297653E-2,4.407324791E-1,4.740240737E-1
2.026387500E-1,-1.746144295E-1,-7.025384903E-2,3.717522621E-1,4.166839890E-1
2.075821360E-1,-2.137746811E-1,-5.710744858E-2,3.612074852E-1,4.235938176E-1
2.125246880E-1,-2.807140350E-1,-9.267807007E-3,4.147233963E-1,5.008809810E-1
2.174680730E-1,-3.022675514E-1,-5.628967285E-2,4.068355560E-1,5.099503599E-1
2.224122400E-1,-2.677726746E-1,-1.772665977E-1,4.254302979E-1,5.330258814E-1
2.273556250E-1,-2.085399628E-1,-1.858696938E-1,4.676418304E-1,5.447250138E-1
2.322982300E-1,-1.128826141E-1,-2.063517570E-1,4.857945442E-1,5.397405593E-1
2.372415630E-1,-3.277111053E-2,-2.267513275E-1,4.590306282E-1,5.130294610E-1
2.421857820E-1,8.961200714E-3,-2.610273361E-1,3.949170113E-1,4.734712442E-1
2.471291670E-1,3.431463242E-2,-2.734632492E-1,3.266992569E-1,4.274249023E-1
2.520717190E-1,4.848957062E-2,-2.503657341E-1,2.847819328E-1,3.822760633E-1
2.570151050E-1,1.974105835E-4,-2.229957581E-1,2.356686592E-1,3.244485537E-1
2.619592710E-1,-5.560541153E-2,-1.981849670E-1,1.887807846E-1,2.792980981E-1
2.669026570E-1,-1.380310059E-1,-1.783456802E-1,1.491684914E-1,2.703904197E-1
