"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.402172800E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
2.882870700E-2,-2.871394157E-3,1.081466675E-3,-2.711534500E-3,4.094739787E-3
3.363568700E-2,-5.043315887E-2,-1.539134979E-2,4.154682159E-3,5.289289694E-2
3.882599900E-2,-9.095573425E-2,-2.774906158E-2,6.875109673E-2,1.173442343E-1
4.401631200E-2,-1.217836142E-1,-6.820869446E-2,1.556520462E-1,2.090723180E-1
4.920662400E-2,-1.605395079E-1,-6.484889984E-2,2.445311546E-1,2.996227611E-1
5.436214500E-2,-1.634426117E-1,-9.664821625E-2,3.420953751E-1,3.912590071E-1
5.930532200E-2,-1.628996134E-1,-1.097850800E-1,4.662251472E-1,5.059198906E-1
6.424933200E-2,-1.586438417E-1,-1.401929855E-1,5.222506523E-1,5.635314415E-1
6.919251000E-2,-1.783661842E-1,-1.412639618E-1,5.102581978E-1,5.586890289E-1
7.413485300E-2,-1.589407921E-1,-1.762819290E-1,4.871039391E-1,5.418558308E-1
7.907803000E-2,-1.249188185E-1,-1.703186035E-1,4.282484055E-1,4.775037536E-1
8.402204100E-2,-8.777117729E-2,-1.416711807E-1,3.658730984E-1,4.020418226E-1
8.896516600E-2,-3.626024723E-2,-1.150627136E-1,3.092799187E-1,3.319763571E-1
9.390756200E-2,2.314567566E-2,-7.321929932E-2,2.545132637E-1,2.658454241E-1
9.885073900E-2,7.936894894E-2,-6.150817871E-2,2.050855160E-1,2.283478815E-1
1.037947490E-1,1.128884554E-1,-3.295898438E-2,1.262261868E-1,1.725199937E-1
1.087379260E-1,1.093277931E-1,-2.445125580E-2,8.444643021E-2,1.402912322E-1
1.136802700E-1,8.871364594E-2,-2.347946167E-2,7.052493095E-2,1.157374701E-1
1.186234470E-1,6.981897354E-2,-4.327106476E-2,3.060507774E-2,8.765697288E-2
1.235674570E-1,5.465114117E-2,-6.693363190E-2,1.805019379E-2,8.827608853E-2
1.285105820E-1,3.141272068E-2,-6.690502167E-2,1.771140099E-2,7.600483320E-2
1.334529780E-1,1.180577278E-2,-7.856178284E-2,2.220034599E-2,8.248748606E-2
1.383961550E-1,9.342789650E-3,-7.384300232E-2,3.564357758E-3,7.451698703E-2
1.433401140E-1,3.542900085E-4,-8.785820007E-2,5.231404305E-2,1.022543297E-1
1.482832910E-1,-4.480838776E-2,-1.153068542E-1,8.078074455E-2,1.477463737E-1
1.532256870E-1,-8.116316795E-2,-1.487760544E-1,9.189558029E-2,1.927863373E-1
1.581688640E-1,-1.300456524E-1,-1.950540543E-1,1.302363873E-1,2.681780609E-1
1.631128220E-1,-1.402530670E-1,-2.006988525E-1,1.882185936E-1,3.088319789E-1
1.680559990E-1,-1.802717447E-1,-2.225961685E-1,2.167263031E-1,3.591897084E-1
1.729983950E-1,-2.284880877E-1,-2.255201340E-1,2.238259315E-1,3.913619612E-1
1.779415720E-1,-2.453722954E-1,-2.518053055E-1,2.032899857E-1,4.061284199E-1
1.828855300E-1,-2.574977875E-1,-2.659711838E-1,1.907873154E-1,4.164679830E-1
1.878287070E-1,-2.812910080E-1,-2.590999603E-1,1.721401215E-1,4.193919909E-1
1.927711030E-1,-2.745251656E-1,-2.504072189E-1,1.382565498E-1,3.964627541E-1
1.977142800E-1,-2.777305841E-1,-2.259454727E-1,1.081547737E-1,3.740094773E-1
2.026582390E-1,-2.650243044E-1,-2.186708450E-1,8.390784264E-2,3.536882051E-1
2.076014160E-1,-2.507262230E-1,-1.861171722E-1,2.089357376E-2,3.129533226E-1
2.125438120E-1,-2.066762447E-1,-1.755256653E-1,-5.454540253E-3,2.712085569E-1
2.174869890E-1,-1.356333494E-1,-1.326761246E-1,-2.176022530E-2,1.909787080E-1
2.224309470E-1,-1.035431623E-1,-1.097183228E-1,-3.286123276E-2,1.543993440E-1
2.273741240E-1,-8.380019665E-2,-9.204864502E-2,-5.546069145E-2,1.362766095E-1
2.323165200E-1,-1.042593718E-1,-1.052331924E-1,-6.590867043E-2,1.621357278E-1
2.372596970E-1,-1.078740358E-1,-1.158628464E-1,-7.842397690E-2,1.766672775E-1
2.422036550E-1,-9.980940819E-2,-1.146230698E-1,-6.956386566E-2,1.671511217E-1
2.471468320E-1,-9.670674801E-2,-1.298656464E-1,-4.682970047E-2,1.685535584E-1
2.520892280E-1,-6.568896770E-2,-1.541881561E-1,-7.150149345E-2,1.822127645E-1
2.570324050E-1,-5.880868435E-2,-1.358213425E-1,-8.881163597E-2,1.726076624E-1
2.619763640E-1,-4.756557941E-2,-1.459264755E-1,-1.599938869E-1,2.217094145E-1
2.669195410E-1,-4.376864433E-2,-1.486921310E-1,-1.997234821E-1,2.528131986E-1
2.718618850E-1,-2.834916115E-2,-1.513481140E-1,-1.616330147E-1,2.232378955E-1
2.768051140E-1,-3.901481628E-2,-1.468591690E-1,-1.434659958E-1,2.089790979E-1
2.817490720E-1,-4.736292362E-2,-1.869564056E-1,-1.355419159E-1,2.357277139E-1
2.866922490E-1,-3.453779221E-2,-2.027406693E-1,-1.399252415E-1,2.487482890E-1
2.916346450E-1,-5.022346973E-2,-1.970119476E-1,-9.294891357E-2,2.235522421E-1
2.965778220E-1,-7.270348072E-2,-2.077760696E-1,-5.898571014E-2,2.278947240E-1
3.015217800E-1,-1.042600870E-1,-2.323951721E-1,-1.188635826E-2,2.549881709E-1
3.064649570E-1,-1.234899759E-1,-2.519540787E-1,1.143965721E-1,3.030135436E-1
3.114073010E-1,-1.448924541E-1,-3.066425323E-1,1.988902092E-1,3.931676248E-1
3.163504780E-1,-1.850796938E-1,-3.441295624E-1,2.636535168E-1,4.713733400E-1
3.212944890E-1,-2.061743736E-1,-3.247871399E-1,3.046715260E-1,4.907334280E-1
3.262376660E-1,-2.131501436E-1,-3.201627731E-1,2.704415321E-1,4.701869919E-1
3.311800100E-1,-2.461981177E-1,-2.805204391E-1,2.232851982E-1,4.349270165E-1
3.361231870E-1,-2.530809045E-1,-2.629404068E-1,1.657223701E-1,4.008135548E-1
3.410671970E-1,-2.578852177E-1,-2.411623001E-1,1.262660027E-1,3.749761911E-1
3.460103740E-1,-2.251715064E-1,-1.893081665E-1,9.987378120E-2,3.106679278E-1
3.509527180E-1,-2.048673034E-1,-1.620283127E-1,5.557751656E-2,2.670442781E-1
3.558958950E-1,-1.707625389E-1,-1.212587357E-1,-2.041435242E-2,2.104287800E-1
3.608399050E-1,-1.844245195E-1,-1.048231125E-1,-6.425809860E-2,2.216515093E-1
3.657830820E-1,-2.287099957E-1,-9.108257294E-2,-1.095778942E-1,2.694654192E-1
3.707254260E-1,-2.465540171E-1,-9.415054321E-2,-1.257078648E-1,2.923280270E-1
3.756686030E-1,-2.738489509E-1,-1.042604446E-1,-1.439661980E-1,3.264808637E-1
3.806126140E-1,-2.679329515E-1,-1.331357956E-1,-1.170861721E-1,3.212823964E-1
3.855557910E-1,-2.623307109E-1,-1.450967789E-1,-7.168221474E-2,3.082350029E-1
3.904981350E-1,-2.333567142E-1,-1.568794250E-1,-3.642535210E-2,2.835371516E-1
3.954413120E-1,-1.978958249E-1,-1.613836288E-1,-6.486654282E-3,2.554398361E-1
4.003852700E-1,-2.150911689E-1,-1.917505264E-1,3.938603401E-2,2.908328300E-1
4.053284470E-1,-1.945316195E-1,-2.097520828E-1,6.057763100E-2,2.924177434E-1
4.102708430E-1,-1.767628789E-1,-1.895160675E-1,4.309773445E-2,2.627144265E-1
4.152140200E-1,-1.640371084E-1,-1.764459610E-1,2.526426315E-2,2.422387935E-1
4.201579780E-1,-1.300978661E-1,-1.468811035E-1,8.526039124E-2,2.139365505E-1
4.251011550E-1,-1.129772663E-1,-1.364908218E-1,1.488444805E-1,2.314050270E-1
4.300435510E-1,-9.358084202E-2,-1.451730728E-1,2.305707932E-1,2.880893711E-1
4.349867280E-1,-5.762910843E-2,-1.443977356E-1,2.997069359E-1,3.376330369E-1
4.399306870E-1,-1.002001762E-2,-1.484813690E-1,2.854557037E-1,3.219193633E-1
4.448738640E-1,-2.652895451E-2,-1.005973816E-1,2.361421585E-1,2.580440614E-1
4.498162600E-1,-4.019892216E-2,-8.886623383E-2,1.946818829E-1,2.177480112E-1
4.547594370E-1,-4.404020309E-2,-6.309318542E-2,1.560530663E-1,1.739909452E-1
4.597033950E-1,-7.859122753E-2,-7.786655426E-2,1.131606102E-1,1.582564533E-1
4.646465720E-1,-8.431410789E-2,-7.120513916E-2,6.845569611E-2,1.298661733E-1
4.695889680E-1,-8.761084080E-2,-7.412147522E-2,5.510926247E-2,1.273054725E-1
4.745321450E-1,-1.193249226E-1,-8.648204803E-2,6.559109688E-2,1.613064592E-1
4.794761030E-1,-9.626591206E-2,-9.869480133E-2,6.643605232E-2,1.530409706E-1
4.844192800E-1,-7.346796989E-2,-7.526302338E-2,9.809374809E-2,1.438208911E-1
4.893616760E-1,-3.894937038E-2,-6.629467010E-2,1.601657867E-1,1.776657423E-1
4.943048530E-1,-9.496092796E-3,-5.031776428E-2,1.552586555E-1,1.634848718E-1
4.992488120E-1,2.461099625E-2,-7.480239868E-2,1.953959465E-1,2.106672160E-1
5.041919890E-1,5.387198925E-2,-6.114196777E-2,1.971828938E-1,2.133579739E-1
5.091343850E-1,3.090965748E-2,-7.368087769E-2,1.656858921E-1,1.839458983E-1
5.140775620E-1,2.253437042E-2,-4.813861847E-2,1.343657970E-1,1.444966846E-1
5.190215200E-1,-2.233862877E-3,-4.879188538E-2,8.873248100E-2,1.012871730E-1
5.239646970E-1,-1.728796959E-2,-4.694271088E-2,7.639122009E-2,9.131325481E-2
5.289070930E-1,-2.518367767E-2,-5.919551849E-2,6.618857384E-2,9.229980681E-2
5.338502180E-1,-3.315627575E-2,-4.508304596E-2,6.990289688E-2,8.954459586E-2
5.387942280E-1,6.597518921E-3,-1.445293427E-2,1.160511971E-1,1.171336625E-1
5.437374050E-1,3.894007206E-2,1.775741577E-3,1.116280556E-1,1.182383409E-1
5.486797490E-1,6.178855896E-2,-3.191757202E-2,7.386660576E-2,1.014535996E-1
5.536229260E-1,6.558775902E-2,-3.205871582E-2,1.193461418E-1,1.399035988E-1
5.585669370E-1,7.654857635E-2,-3.218364716E-2,1.145446301E-1,1.414777154E-1
5.635101140E-1,7.081115246E-2,-3.469753265E-2,1.169693470E-1,1.410672401E-1
5.684524570E-1,6.272089481E-2,-6.091117859E-2,1.146533489E-1,1.441855497E-1
5.733956350E-1,7.139980793E-2,-6.085205078E-2,1.125018597E-1,1.464840370E-1
5.783396450E-1,1.204830408E-1,-7.282161713E-2,1.558642387E-1,2.100305025E-1
5.832828220E-1,1.456218958E-1,-7.777786255E-2,2.254645824E-1,2.794448253E-1
5.882251660E-1,1.731139421E-1,-7.111930847E-2,2.287454605E-1,2.955518207E-1
5.931683430E-1,1.840287447E-1,-6.006908417E-2,2.469685078E-1,3.137966182E-1
5.981123530E-1,1.736358404E-1,-7.547092438E-2,2.419300079E-1,3.072057848E-1
6.030555300E-1,1.325973272E-1,-8.384895325E-2,2.422664165E-1,2.886272938E-1
6.079978740E-1,8.010315895E-2,-8.527660370E-2,1.933827400E-1,2.260210153E-1
6.129410510E-1,1.366853714E-2,-9.401893616E-2,1.787371635E-1,2.024187810E-1
6.178850100E-1,-3.335785866E-2,-1.076517105E-1,1.719684601E-1,2.056083383E-1
6.228281870E-1,-4.700052738E-2,-9.759521484E-2,1.610326767E-1,1.940757545E-1
6.277705820E-1,-7.505369186E-2,-1.067733765E-1,1.388356686E-1,1.905490841E-1
6.327137600E-1,-8.884727955E-2,-9.462738037E-2,1.148419380E-1,1.733114276E-1
6.376577180E-1,-9.322810173E-2,-8.980274200E-2,7.713460922E-2,1.506843036E-1
6.426008950E-1,-1.073017716E-1,-8.511066437E-2,7.330465317E-2,1.553417766E-1
6.475432910E-1,-1.215239167E-1,-6.619739532E-2,5.294060707E-2,1.481649937E-1
6.524864680E-1,-1.145591140E-1,-6.170654297E-2,1.865410805E-2,1.314513742E-1
6.574304260E-1,-9.609365463E-2,-4.058647156E-2,-2.961134911E-2,1.084346998E-1
