m,n,times,F
1,行,目
2,2,1,0.0
2,2,2,0.9230928690769576
2,2,3,0.7626931202770224
2,2,4,3.1171040022235967
2,2,5,0.15897413500814006
2,2,6,-0.8491099669816912
2,2,7,0.1484575247467179
2,2,8,-0.3792291041111787
2,2,9,1.0675398660858575
2,2,10,-0.5781628455000873
2,2,11,-1.1588264294180861
2,2,12,1.2067948470034344
2,2,13,0.7029833658313153
2,2,14,11.969777047522763
2,2,15,0.4757382212578035
2,2,16,2.061614058103668
2,2,17,1.1927378539426035
2,2,18,1.990207439293333
2,2,19,0.02271528157671967
2,2,20,-0.030645773778354438
2,行,目
2,2,1,-0.9230928690769576
2,2,2,0.0
2,2,3,0.31791449184943
2,2,4,4.691569699910325
2,2,5,-0.21242718976673244
2,2,6,-1.161302361215286
2,2,7,-0.1235145090715508
2,2,8,-0.675878095454378
2,2,9,0.7816603207620015
2,2,10,-0.7739933234654544
2,2,11,-1.6715094504640586
2,2,12,1.0099725248049831
2,2,13,0.4274218339267657
2,2,14,32.17601506184058
2,2,15,0.24276291885546175
2,2,16,1.8509721408097564
2,2,17,1.01166798240669
2,2,18,1.8356852595888788
2,2,19,-0.033279778671758076
2,2,20,-0.17816135253138898
3,行,目
2,2,1,-0.7626931202770224
2,2,2,-0.31791449184943
2,2,3,0.0
2,2,4,1.27832332614296
2,2,5,-0.3524454166533322
2,2,6,-1.1861790540449393
2,2,7,-0.24846862361406682
2,2,8,-0.7470741363981229
2,2,9,0.4931378334568694
2,2,10,-0.8339181608921685
2,2,11,-1.554217558349701
2,2,12,0.818157471179436
2,2,13,0.22508796561378616
2,2,14,6.959288184869178
2,2,15,0.09797774086580704
2,2,16,1.1015413904107667
2,2,17,0.8425515647877242
2,2,18,1.6326708056005776
2,2,19,-0.06351510833759492
2,2,20,-0.25049454356720396
4,行,目
2,2,1,-3.1171040022235967
2,2,2,-4.691569699910325
2,2,3,-1.27832332614296
2,2,4,0.0
2,2,5,-1.281049000284
2,2,6,-1.9246413829123845
2,2,7,-0.9094852331288326
2,2,8,-1.4573474967627633
2,2,9,-0.2626992757525809
2,2,10,-1.2949759414829345
2,2,11,-2.7542920319639848
2,2,12,0.3324010795709635
2,2,13,-0.46793463482994707
2,2,14,13.685438815131674
2,2,15,-0.46886528044823494
2,2,16,0.20210751425534268
2,2,17,0.4007273702533486
2,2,18,1.2508083044379394
2,2,19,-0.1938689216116727
2,2,20,-0.5977372592644871
5,行,目
2,2,1,-0.15897413500814006
2,2,2,0.21242718976673244
2,2,3,0.3524454166533322
2,2,4,1.281049000284
2,2,5,0.0
2,2,6,-0.8205878543123752
2,2,7,0.02458287597669234
2,2,8,-0.42170188752916016
2,2,9,0.7126457298930337
2,2,10,-0.6060444416893497
2,2,11,-0.9952972344857018
2,2,12,0.972648659318506
2,2,13,0.4653433151778657
2,2,14,5.067647950355982
2,2,15,0.3193698076184638
2,2,16,1.210776979663253
2,2,17,0.9887105086750145
2,2,18,1.7258229004202184
2,2,19,-0.0023016763728357335
2,2,20,-0.09049778115868824
6,行,目
2,2,1,0.8491099669816912
2,2,2,1.161302361215286
2,2,3,1.1861790540449393
2,2,4,1.9246413829123845
2,2,5,0.8205878543123752
2,2,6,0.0
2,2,7,0.7390204227995799
2,2,8,0.3533348256755785
2,2,9,1.3982141607362175
2,2,10,0.003149272422012104
2,2,11,0.02295610234414396
2,2,12,1.5223127899693396
2,2,13,1.155875346243473
2,2,14,4.652363809935358
2,2,15,0.9603939308162736
2,2,16,1.8506836888316731
2,2,17,1.5101064844643406
2,2,18,2.1677023250526655
2,2,19,0.19891341043782443
2,2,20,0.39005023938893246
7,行,目
2,2,1,-0.1484575247467179
2,2,2,0.1235145090715508
2,2,3,0.24846862361406682
2,2,4,0.9094852331288326
2,2,5,-0.02458287597669234
2,2,6,-0.7390204227995799
2,2,7,0.0
2,2,8,-0.38943670124396323
2,2,9,0.5714913284228191
2,2,10,-0.5771574018364195
2,2,11,-0.8436982911145597
2,2,12,0.851570060618429
2,2,13,0.37566756740100676
2,2,14,3.6594365927879893
2,2,15,0.2632008837008591
2,2,16,0.9228882535336889
2,2,17,0.8800482355310566
2,2,18,1.5616060737719046
2,2,19,-0.008265804252955726
2,2,20,-0.09985163910653713
8,行,目
2,2,1,0.3792291041111787
2,2,2,0.675878095454378
2,2,3,0.7470741363981229
2,2,4,1.4573474967627633
2,2,5,0.42170188752916016
2,2,6,-0.3533348256755785
2,2,7,0.38943670124396323
2,2,8,0.0
2,2,9,1.0117319828954123
2,2,10,-0.2740697385957116
2,2,11,-0.3915704840741841
2,2,12,1.2081714731717017
2,2,13,0.7893456471548679
2,2,14,4.223453867829508
2,2,15,0.631484652269536
2,2,16,1.4217218376412215
2,2,17,1.2146614589281994
2,2,18,1.8856442090444085
2,2,19,0.10012813738890375
2,2,20,0.1569615216018779
9,行,目
2,2,1,-1.0675398660858575
2,2,2,-0.7816603207620015
2,2,3,-0.4931378334568694
2,2,4,0.2626992757525809
2,2,5,-0.7126457298930337
2,2,6,-1.3982141607362175
2,2,7,-0.5714913284228191
