m,n,times,F
1,行,目
2,2,1,0.0
2,2,2,-0.046479467670710053
2,2,3,-0.13960841651066838
2,2,4,-0.6308306412846441
2,2,5,-0.28954849442574304
2,2,6,-0.4680220940629133
2,2,7,-0.9515588211693679
2,2,8,-0.3686144541014968
2,2,9,-0.5226578734511913
2,2,10,-0.1497197707752818
2,2,11,-0.5465194721647374
2,2,12,-0.34953755478552573
2,2,13,-0.5317773225863563
2,2,14,-0.7772522203882865
2,2,15,-0.3106520917783563
2,2,16,-0.4566572237674059
2,2,17,-0.4833320074504161
2,2,18,-1.017561946174463
2,2,19,0.12279503840165226
2,2,20,0.5327251090307153
2,行,目
2,2,1,0.046479467670710053
2,2,2,0.0
2,2,3,-0.1456767753425723
2,2,4,-1.0735349090187059
2,2,5,-0.5008628335747624
2,2,6,-0.9389291701233877
2,2,7,-2.04288550989733
2,2,8,-0.7249203187507374
2,2,9,-1.0707917713746407
2,2,10,-0.15998847472150043
2,2,11,-1.0475402834807643
2,2,12,-0.43127484410071093
2,2,13,-0.9649058217831596
2,2,14,-1.6568410007161565
2,2,15,-0.5909506699558572
2,2,16,-0.7925588072744477
2,2,17,-0.7828014466261446
2,2,18,-2.0936236402340676
2,2,19,0.2998171654218754
2,2,20,0.7539437871498501
3,行,目
2,2,1,0.13960841651066838
2,2,2,0.1456767753425723
2,2,3,0.0
2,2,4,-0.6445149406109136
2,2,5,-0.17664119807725168
2,2,6,-0.4348038461375717
2,2,7,-1.1391704338298592
2,2,8,-0.29068058859205315
2,2,9,-0.51485231435335
2,2,10,-0.013600947180555134
2,2,11,-0.5428784204183931
2,2,12,-0.2645550165172631
2,2,13,-0.5170598413433062
2,2,14,-0.8864476775498501
2,2,15,-0.20618714903088922
2,2,16,-0.41009209215767395
2,2,17,-0.4416610528626231
2,2,18,-1.2220918823603406
2,2,19,0.3738600348648383
2,2,20,0.7738648693817763
4,行,目
2,2,1,0.6308306412846441
2,2,2,1.0735349090187059
2,2,3,0.6445149406109136
2,2,4,0.0
2,2,5,0.8564122293477755
2,2,6,0.5243904391683322
2,2,7,-0.7163088448424061
2,2,8,0.7993077574305214
2,2,9,0.3929665533696869
2,2,10,0.6190915524842737
2,2,11,0.26993626766334694
2,2,12,0.2459152030350052
2,2,13,0.2601201687987482
2,2,14,-0.26536732181548167
2,2,15,0.9448588295267084
2,2,16,0.3956897594993017
2,2,17,0.269161193967991
2,2,18,-0.8521693576569049
2,2,19,1.4009054223255435
2,2,20,1.3857520182811556
5,行,目
2,2,1,0.28954849442574304
2,2,2,0.5008628335747624
2,2,3,0.17664119807725168
2,2,4,-0.8564122293477755
2,2,5,0.0
2,2,6,-0.7303119815933493
2,2,7,-2.8734337098733578
2,2,8,-0.3243285800033665
2,2,9,-0.995156989976541
2,2,10,0.15564023047214842
2,2,11,-0.8638336747699931
2,2,12,-0.1831629211338268
2,2,13,-0.7168347968861024
2,2,14,-2.161868092003776
2,2,15,-0.06380894387064819
2,2,16,-0.4725027643468656
2,2,17,-0.48180173070031174
2,2,18,-2.656390977640394
2,2,19,0.8860523700323665
2,2,20,1.0641917431853172
6,行,目
2,2,1,0.4680220940629133
2,2,2,0.9389291701233877
2,2,3,0.4348038461375717
2,2,4,-0.5243904391683322
2,2,5,0.7303119815933493
2,2,6,0.0
2,2,7,-4.727517478773037
2,2,8,1.1479210041289147
2,2,9,-0.5312515351263798
2,2,10,0.40832704365219624
2,2,11,-0.3955214118107012
2,2,12,0.02081851646705554
2,2,13,-0.28216243232613736
2,2,14,-3.500171236136212
2,2,15,1.6497007803885946
2,2,16,-0.028217272486305272
2,2,17,-0.1265854762040553
2,2,18,-3.0117168347062115
2,2,19,1.36969453811248
2,2,20,1.2723047505990148
7,行,目
2,2,1,0.9515588211693679
2,2,2,2.04288550989733
2,2,3,1.1391704338298592
2,2,4,0.7163088448424061
2,2,5,2.8734337098733578
2,2,6,4.727517478773037
2,2,7,0.0
2,2,8,9.567077811182251
2,2,9,5.448811549492652
2,2,10,1.100221022105829
2,2,11,1.84433275565259
2,2,12,0.6074259514858477
2,2,13,1.4052594822073738
2,2,14,2.8801791366389877
2,2,15,8.863227668299045
2,2,16,1.4755398642202306
2,2,17,1.0244081744975466
2,2,18,-0.44684177078035586
2,2,19,2.4926655945705973
2,2,20,1.7884794755956992
8,行,目
2,2,1,0.3686144541014968
2,2,2,0.7249203187507374
2,2,3,0.29068058859205315
2,2,4,-0.7993077574305214
2,2,5,0.3243285800033665
2,2,6,-1.1479210041289147
2,2,7,-9.567077811182251
2,2,8,0.0
2,2,9,-2.613614477893258
2,2,10,0.26650644055276046
2,2,11,-0.911364110855493
2,2,12,-0.10188411962005468
2,2,13,-0.6540485159796067
2,2,14,-12.884816201669597
2,2,15,1.1466107170596223
2,2,16,-0.34768521070076797
2,2,17,-0.371699988505154
2,2,18,-3.9559217810833096
2,2,19,1.1607330098400397
2,2,20,1.1697135321329395
9,行,目
2,2,1,0.5226578734511913
2,2,2,1.0707917713746407
2,2,3,0.51485231435335
2,2,4,-0.3929665533696869
2,2,5,0.995156989976541
