m,n,times,F
1,行,目
2,2,1,0.0
2,2,2,-1.0126855921482087
2,2,3,0.26257452746563975
2,2,4,-0.21397275161582052
2,2,5,0.4666813517297011
2,2,6,0.5713953196636657
2,2,7,1.0274262654366977
2,2,8,1.1993723019205957
2,2,9,0.02016313597961805
2,2,10,0.8831237138188146
2,2,11,0.8848756371855148
2,2,12,-1.39205525652114
2,2,13,-0.19589677569464756
2,2,14,-1.1319746243688236
2,2,15,0.32988835673136463
2,2,16,-0.2553887272009768
2,2,17,-0.42204403644400357
2,2,18,-0.8034548953145934
2,2,19,0.6952259543297027
2,3,20,-0.594826038446257
2,行,目
2,2,1,1.0126855921482087
2,2,2,0.0
2,2,3,1.2031548450726166
2,2,4,0.5140355093253332
2,2,5,1.3389464055272655
2,2,6,1.2701484063219868
2,2,7,1.9838175777208504
2,2,8,2.201989827917807
2,2,9,0.7147808792782069
2,2,10,1.6410056865540912
2,2,11,1.64846900655951
2,2,12,-0.8925176607622705
2,2,13,0.407837777581511
2,2,14,-0.40654592825735664
2,2,15,0.9401254426556152
2,2,16,1.0087148822663294
2,2,17,0.4185408270941411
2,2,18,-0.2963303534319849
2,2,19,0.9565664054745259
2,3,20,0.08152283806295663
3,行,目
2,2,1,-0.26257452746563975
2,2,2,-1.2031548450726166
2,2,3,0.0
2,2,4,-0.4297981017646308
2,2,5,0.20966527188083492
2,2,6,0.3470123672711733
2,2,7,0.7428599233916474
2,2,8,0.9026428190137187
2,2,9,-0.19464883815065293
2,2,10,0.6413226868278317
2,2,11,0.6417854805199151
2,2,12,-1.536444538963976
2,2,13,-0.3885390923840243
2,2,14,-1.3053464782339936
2,2,15,0.1289164620793583
2,2,16,-0.5248431322048568
2,2,17,-0.6470422722050613
2,2,18,-0.9662389016982806
2,2,19,0.5966995159546469
2,3,20,-0.8190008910247232
4,行,目
2,2,1,0.21397275161582052
2,2,2,-0.5140355093253332
2,2,3,0.4297981017646308
2,2,4,0.0
2,2,5,0.6036022137917152
2,2,6,0.6889217995192484
2,2,7,1.103460154900108
2,2,8,1.25685681077645
2,2,9,0.1961738034746508
2,2,10,0.9745641767375929
2,2,11,0.9761979816420417
2,2,12,-0.9600384131045337
2,2,13,-0.009330800944204175
2,2,14,-0.6518187482190577
2,2,15,0.4623466821529514
2,2,16,0.029941452428828806
2,2,17,-0.14956369368601788
2,2,18,-0.5626641634558113
2,2,19,0.7614813039066228
2,3,20,-0.3409977523223792
5,行,目
2,2,1,-0.4666813517297011
2,2,2,-1.3389464055272655
2,2,3,-0.20966527188083492
2,2,4,-0.6036022137917152
2,2,5,0.0
2,2,6,0.15773392814282342
2,2,7,0.5078717304506598
2,2,8,0.657498181734793
2,2,9,-0.3713551334715897
2,2,10,0.43690413583845683
2,2,11,0.4364465631418193
2,2,12,-1.6445093407256894
2,2,13,-0.5481914290400517
2,2,14,-1.431237209107857
2,2,15,-0.041687711915471166
2,2,16,-0.7244702380631958
2,2,17,-0.8213732754503921
2,2,18,-1.099132455873988
2,2,19,0.5071114803971246
2,3,20,-1.0067881339140932
6,行,目
2,2,1,-0.5713953196636657
2,2,2,-1.2701484063219868
2,2,3,-0.3470123672711733
2,2,4,-0.6889217995192484
2,2,5,-0.15773392814282342
2,2,6,0.0
2,2,7,0.2935519413415108
2,2,8,0.42474047897828426
2,2,9,-0.4817269789762346
2,2,10,0.25052492195016335
2,2,11,0.2493848002784125
2,2,12,-1.5699915636580317
2,2,13,-0.638200134567278
2,2,14,-1.358988404894672
2,2,15,-0.17477059843004827
2,2,16,-0.7858539148489975
2,2,17,-0.8744723877099456
2,2,18,-1.1336026112786652
2,2,19,0.4204720132583297
2,3,20,-1.1009587675095922
7,行,目
2,2,1,-1.0274262654366977
2,2,2,-1.9838175777208504
2,2,3,-0.7428599233916474
2,2,4,-1.103460154900108
2,2,5,-0.5078717304506598
2,2,6,-0.2935519413415108
2,2,7,0.0
2,2,8,0.1446681931976658
2,2,9,-0.8460326135992989
2,2,10,-0.022534347787827133
2,2,11,-0.024714062219683804
2,2,12,-2.187216275841496
2,2,13,-0.9982794063744199
2,2,14,-2.043373736498031
2,2,15,-0.46890494560549123
2,2,16,-1.3348969724951905
2,2,17,-1.3694936827967779
2,2,18,-1.5413921426769928
2,2,19,0.28697881146374143
2,3,20,-1.562833344927755
8,行,目
2,2,1,-1.1993723019205957
2,2,2,-2.201989827917807
2,2,3,-0.9026428190137187
2,2,4,-1.25685681077645
2,2,5,-0.657498181734793
2,2,6,-0.42474047897828426
2,2,7,-0.1446681931976658
2,2,8,0.0
2,2,9,-0.9889167758937171
2,2,10,-0.15393014700414143
2,2,11,-0.15660816675177006
2,2,12,-2.3698738165274635
2,2,13,-1.134857270644732
2,2,14,-2.250202323933237
2,2,15,-0.5943759857754298
2,2,16,-1.5278300119889552
2,2,17,-1.5419810950754362
2,2,18,-1.6801749951960085
2,2,19,0.2240358235623314
2,3,20,-1.7326940009957195
9,行,目
2,2,1,-0.02016313597961805
2,2,2,-0.7147808792782069
2,2,3,0.19464883815065293
2,2,4,-0.1961738034746508
2,2,5,0.3713551334715897
