m,n,times,F
1,行,目
3,3,1,0.0
3,2,2,-0.32379305035636596
3,3,3,-0.7776011326425971
3,2,4,-0.9543430321732254
3,2,5,-0.26556854095384624
3,2,6,-1.0017456343334856
3,2,7,-0.7279157643204957
3,3,8,-0.3708792846289178
3,2,9,-0.8194757625808299
3,2,10,-0.40723954656588773
3,2,11,-0.18167336052979297
3,3,12,-1.6561155388134925
3,2,13,-0.8795589994712385
3,2,14,-0.7493790985559171
3,2,15,-0.781490418266067
3,2,16,-0.9948382828665817
3,3,17,-1.0191976213407934
3,3,18,-1.2975635270868866
3,2,19,-0.23499883818134262
3,3,20,-0.31182506955549255
2,行,目
2,3,1,0.32379305035636596
2,2,2,0.0
2,3,3,-0.5496372093825348
2,2,4,-0.7912221929304272
2,2,5,0.0031099137589476146
2,2,6,-1.0489576545965071
2,2,7,-0.5619749343690966
2,3,8,-0.126362535370094
2,2,9,-0.6324071413260188
2,2,10,-0.188260627213484
2,2,11,0.05426442365082772
2,3,12,-1.548328669060821
2,2,13,-0.7646289836236648
2,2,14,-0.5888368541145532
2,2,15,-0.5785989138020105
2,2,16,-0.8402080096964064
2,3,17,-0.7345543985471744
2,3,18,-1.0393511512555489
2,2,19,-0.07089304859018548
2,3,20,-0.007097674825806699
3,行,目
3,3,1,0.7776011326425971
3,2,2,0.5496372093825348
3,3,3,0.0
3,2,4,-0.41163781166117075
3,2,5,0.427483422182343
3,2,6,-0.37667067373957397
3,2,7,-0.1323653228271224
3,3,8,0.20606683740765597
3,2,9,-0.2738142272747058
3,2,10,0.13858015389429723
3,2,11,0.41271811345999687
3,3,12,-0.9998579157003846
3,2,13,-0.2858594967908933
3,2,14,-0.15474757042114307
3,2,15,-0.25162241704369787
3,2,16,-0.453409888917889
3,3,17,-0.46765095609051893
3,3,18,-0.6938286328150797
3,2,19,0.1315166404454071
3,3,20,0.4632987372451299
4,行,目
2,3,1,0.9543430321732254
2,2,2,0.7912221929304272
2,3,3,0.41163781166117075
2,2,4,0.0
2,2,5,0.633465784798462
2,2,6,0.08342505647179979
2,2,7,0.2164720498189064
2,3,8,0.44721478760639655
2,2,9,0.09216470432838715
2,2,10,0.36872526984111387
2,2,11,0.5786082906577006
2,3,12,-0.3492082844792974
2,2,13,0.11673179972106396
2,2,14,0.20140331995443025
2,2,15,0.09668866718079631
2,2,16,-0.027985372334467226
2,3,17,-0.05742768384988477
2,3,18,-0.18323220853542435
2,2,19,0.2737788585780533
2,3,20,0.7310725931926992
5,行,目
2,3,1,0.26556854095384624
2,2,2,-0.0031099137589476146
2,3,3,-0.427483422182343
2,2,4,-0.633465784798462
2,2,5,0.0
2,2,6,-0.6927033356541854
2,2,7,-0.4314433391227439
2,3,8,-0.11650527285691721
2,2,9,-0.5139752507435714
2,2,10,-0.1603747035110018
2,2,11,0.04274015380181831
2,3,12,-1.240101190332402
