m,n,times,F
1,行,目
4,4,1,0.0
4,4,2,0.11912747068761319
4,4,3,0.9113117408248853
4,4,4,1.1214849935740336
4,4,5,0.6575818477208644
4,4,6,0.44608037494708097
4,4,7,0.7537009862980397
4,4,8,0.7321702093780162
4,4,9,0.06322569149898719
4,4,10,0.14324070840646386
4,4,11,-0.4833358055637996
4,4,12,0.1382651368354686
4,4,13,-0.19317525871069796
4,4,14,0.8322790799927444
4,4,15,3.6834538683625775
4,4,16,1.5294486932262747
4,4,17,1.4953388342566825
4,4,18,1.6764711455520631
4,4,19,1.2210665375056158
4,4,20,1.5534026426394518
2,行,目
4,4,1,-0.11912747068761319
4,4,2,0.0
4,4,3,0.8966164434792682
4,4,4,1.2053617847073228
4,4,5,0.6587084305343816
4,4,6,0.39579053188344254
4,4,7,0.774349153365939
4,4,8,0.7654128478839625
4,4,9,-0.04706647100438586
4,4,10,0.03342460940082431
4,4,11,-0.8253370465330904
4,4,12,-0.006467397825276695
4,4,13,-0.44563822631211797
4,4,14,0.9028477796038271
4,4,15,4.42259456781051
4,4,16,1.671688471221387
4,4,17,1.5808825764424792
4,4,18,1.9463685469749377
4,4,19,1.231326932780727
4,4,20,1.8124492099245122
3,行,目
4,4,1,-0.9113117408248853
4,4,2,-0.8966164434792682
4,4,3,0.0
4,4,4,-0.15645463127037224
4,4,5,-0.5545174090498185
4,4,6,-0.7142002151922554
4,4,7,-0.4725444081399704
4,4,8,-0.5385666057354639
4,4,9,-0.8619712728491457
4,4,10,-0.8570376432759003
4,4,11,-1.4095353445982488
4,4,12,-0.9885582751252975
4,4,13,-1.2127720225103
4,4,14,-0.48553110735492006
4,4,15,1.6329845057747314
4,4,16,0.19313854697199528
4,4,17,0.29078944698203807
4,4,18,0.15888011899542687
4,4,19,0.2663996380304802
4,4,20,0.04651482374580125
4,行,目
4,4,1,-1.1214849935740336
4,4,2,-1.2053617847073228
4,4,3,0.15645463127037224
4,4,4,0.0
4,4,5,-0.6906184591626365
4,4,6,-0.9814759221908527
4,4,7,-0.5393589292227428
4,4,8,-0.6929775164720351
4,4,9,-1.0499967573974704
4,4,10,-1.110206980550926
4,4,11,-2.440386417496548
4,4,12,-1.6387219309807917
4,4,13,-2.072047711577896
4,4,14,-0.6070615879696218
4,4,15,3.1513274866926295
4,4,16,0.5461067982695951
4,4,17,0.6230455916094272
4,4,18,0.5808644817125507
4,4,19,0.4955388956204276
4,4,20,0.3924346840151347
5,行,目
4,4,1,-0.6575818477208644
4,4,2,-0.6587084305343816
4,4,3,0.5545174090498185
4,4,4,0.6906184591626365
4,4,5,0.0
4,4,6,-0.3214671849789353
4,4,7,0.15227813468148835
4,4,8,0.06510522943273023
4,4,9,-0.5803966578497372
4,4,10,-0.5811076204007011
4,4,11,-1.987839505733331
4,4,12,-0.9996985332551165
4,4,13,-1.5362190351709892
4,4,14,0.20294087569580646
4,4,15,4.391041436565384
4,4,16,1.2380656502411989
4,4,17,1.191391095050693
4,4,18,1.496910121717118
4,4,19,0.9048354475724142
4,4,20,1.3289378873061115
6,行,目
4,4,1,-0.44608037494708097
4,4,2,-0.39579053188344254
4,4,3,0.7142002151922554
4,4,4,0.9814759221908527
4,4,5,0.3214671849789353
4,4,6,0.0
4,4,7,0.4660435281101379
4,4,8,0.4270617881588004
4,4,9,-0.36777037444414823
4,4,10,-0.3330801526373627
4,4,11,-1.6533804537377024
4,4,12,-0.617074809160856
4,4,13,-1.1794709628785724
4,4,14,0.590105438280716
4,4,15,4.807895934973325
4,4,16,1.5135988834365706
4,4,17,1.4143773759780753
4,4,18,1.8693382761600235
4,4,19,1.065802728775013
4,4,20,1.7197679676668582
7,行,目
4,4,1,-0.7537009862980397
4,4,2,-0.774349153365939
4,4,3,0.4725444081399704
4,4,4,0.5393589292227428
4,4,5,-0.15227813468148835
4,4,6,-0.4660435281101379
4,4,7,0.0
4,4,8,-0.10585083132114548
4,4,9,-0.6778613299836463
4,4,10,-0.6925120564339786
4,4,11,-2.0766490816658187
4,4,12,-1.1396604675454203
4,4,13,-1.6476819481213292
4,4,14,0.017315330632764532
4,4,15,4.098566406220709
4,4,16,1.0869985196616037
4,4,17,1.0705331145540706
4,4,18,1.2859634962943918
4,4,19,0.8202838751057687
4,4,20,1.1112966184412323
8,行,目
4,4,1,-0.7321702093780162
4,4,2,-0.7654128478839625
4,4,3,0.5385666057354639
4,4,4,0.6929775164720351
4,4,5,-0.06510522943273023
4,4,6,-0.4270617881588004
4,4,7,0.10585083132114548
4,4,8,0.0
4,4,9,-0.6513414641758748
4,4,10,-0.6716730348801813
4,4,11,-2.4637252331651145
4,4,12,-1.306554407782201
4,4,13,-1.9421764671935626
4,4,14,0.15699187048013488
4,4,15,4.820390545389991
4,4,16,1.2743818418150672
4,4,17,1.2055739957329052
4,4,18,1.6168462948774591
4,4,19,0.8975077696098939
4,4,20,1.445353627059228
9,行,目
4,4,1,-0.06322569149898719
4,4,2,0.04706647100438586
4,4,3,0.8619712728491457
4,4,4,1.0499967573974704
4,4,5,0.5803966578497372
4,4,6,0.36777037444414823
4,4,7,0.6778613299836463
4,4,8,0.6513414641758748
4,4,9,0.0
4,4,10,0.0737464949824833
4,4,11,-0.5699044901776195
4,4,12,0.05171943044772497
4,4,13,-0.2798313558559779
4,4,14,0.7498988087857659
4,4,15,3.6110589601042347
4,4,16,1.461446929873217
4,4,17,1.43486475427908
4,4,18,1.5994125951873244
4,4,19,1.1720539918764874
4,4,20,1.4744246200240536
10,行,目
4,4,1,-0.14324070840646386
4,4,2,-0.03342460940082431
4,4,3,0.8570376432759003
4,4,4,1.110206980550926
4,4,5,0.5811076204007011
4,4,6,0.3330801526373627
4,4,7,0.6925120564339786
4,4,8,0.6716730348801813
4,4,9,-0.0737464949824833
4,4,10,0.0
4,4,11,-0.801274112100216
4,4,12,-0.04902564617393056
4,4,13,-0.4517485562202601
4,4,14,0.7939772585202188
4,4,15,4.1161334643416865
4,4,16,1.5639135256887786
4,4,17,1.500463328516546
4,4,18,1.7819535191011384
4,4,19,1.1852261017848518
4,4,20,1.647467471446244
11,行,目
4,4,1,0.4833358055637996
4,4,2,0.8253370465330904
4,4,3,1.4095353445982488
4,4,4,2.440386417496548
4,4,5,1.987839505733331
4,4,6,1.6533804537377024
4,4,7,2.0766490816658187
4,4,8,2.4637252331651145
4,4,9,0.5699044901776195
4,4,10,0.801274112100216
4,4,11,0.0
4,4,12,1.6515935150003886
4,4,13,0.7470965429648956
4,4,14,2.904952129723031
4,4,15,7.412087834062656
4,4,16,2.883082671669091
4,4,17,2.4560113544182904
4,4,18,4.030392186269517
4,4,19,1.7725656351441605
4,4,20,4.070214305452608
12,行,目
4,4,1,-0.1382651368354686
4,4,2,0.006467397825276695
4,4,3,0.9885582751252975
4,4,4,1.6387219309807917
4,4,5,0.9996985332551165
4,4,6,0.617074809160856
4,4,7,1.1396604675454203
4,4,8,1.306554407782201
4,4,9,-0.05171943044772497
4,4,10,0.04902564617393056
4,4,11,-1.6515935150003886
4,4,12,0.0
4,4,13,-0.9220960472609223
4,4,14,1.6586707241631458
4,4,15,6.628246798493047
4,4,16,2.1669965846109815
4,4,17,1.8817529668685178
4,4,18,3.061109702659468
4,4,19,1.355421041031471
4,4,20,3.0238662385131527
13,行,目
4,4,1,0.19317525871069796
4,4,2,0.44563822631211797
4,4,3,1.2127720225103
4,4,4,2.072047711577896
4,4,5,1.5362190351709892
4,4,6,1.1794709628785724
4,4,7,1.6476819481213292
4,4,8,1.9421764671935626
4,4,9,0.2798313558559779
4,4,10,0.4517485562202601
4,4,11,-0.7470965429648956
4,4,12,0.9220960472609223
4,4,13,0.0
4,4,14,2.349898607392742
4,4,15,7.069634143406954
4,4,16,2.5536834389907104
4,4,17,2.1897293361687558
4,4,18,3.595846393488517
4,4,19,1.577768005433396
4,4,20,3.604480157245782
14,行,目
4,4,1,-0.8322790799927444
4,4,2,-0.9028477796038271
4,4,3,0.48553110735492006
4,4,4,0.6070615879696218
4,4,5,-0.20294087569580646
4,4,6,-0.590105438280716
4,4,7,-0.017315330632764532
4,4,8,-0.15699187048013488
4,4,9,-0.7498988087857659
4,4,10,-0.7939772585202188
4,4,11,-2.904952129723031
4,4,12,-1.6586707241631458
4,4,13,-2.349898607392742
4,4,14,0.0
4,4,15,4.943519107764904
4,4,16,1.2125477438004792
4,4,17,1.1485652630992664
4,4,18,1.5723452771506654
4,4,19,0.8484127612874068
4,4,20,1.3931026049301256
15,行,目
4,4,1,-3.6834538683625775
4,4,2,-4.42259456781051
4,4,3,-1.6329845057747314
4,4,4,-3.1513274866926295
4,4,5,-4.391041436565384
4,4,6,-4.807895934973325
4,4,7,-4.098566406220709
4,4,8,-4.820390545389991
4,4,9,-3.6110589601042347
4,4,10,-4.1161334643416865
4,4,11,-7.412087834062656
4,4,12,-6.628246798493047
4,4,13,-7.069634143406954
4,4,14,-4.943519107764904
4,4,15,0.0
4,4,16,-2.320631509449848
4,4,17,-1.7447593982490062
4,4,18,-3.087995835166382
4,4,19,-1.2753858484312544
4,4,20,-3.495665809487974
16,行,目
4,4,1,-1.5294486932262747
4,4,2,-1.671688471221387
4,4,3,-0.19313854697199528
4,4,4,-0.5461067982695951
4,4,5,-1.2380656502411989
4,4,6,-1.5135988834365706
4,4,7,-1.0869985196616037
4,4,8,-1.2743818418150672
4,4,9,-1.461446929873217
4,4,10,-1.5639135256887786
4,4,11,-2.883082671669091
4,4,12,-2.1669965846109815
4,4,13,-2.5536834389907104
4,4,14,-1.2125477438004792
4,4,15,2.320631509449848
4,4,16,0.0
4,4,17,0.15371338747621272
4,4,18,-0.08046359383427433
4,4,19,0.13887902133148095
4,4,20,-0.27626464430521386
17,行,目
4,4,1,-1.4953388342566825
4,4,2,-1.5808825764424792
4,4,3,-0.29078944698203807
4,4,4,-0.6230455916094272
4,4,5,-1.191391095050693
4,4,6,-1.4143773759780753
4,4,7,-1.0705331145540706
4,4,8,-1.2055739957329052
4,4,9,-1.43486475427908
4,4,10,-1.500463328516546
4,4,11,-2.4560113544182904
4,4,12,-1.8817529668685178
4,4,13,-2.1897293361687558
4,4,14,-1.1485652630992664
4,4,15,1.7447593982490062
4,4,16,-0.15371338747621272
4,4,17,0.0
4,4,18,-0.2397592085511047
4,4,19,0.018214784588241665
4,4,20,-0.40103182555257627
18,行,目
4,4,1,-1.6764711455520631
4,4,2,-1.9463685469749377
4,4,3,-0.15888011899542687
4,4,4,-0.5808644817125507
4,4,5,-1.496910121717118
4,4,6,-1.8693382761600235
4,4,7,-1.2859634962943918
4,4,8,-1.6168462948774591
4,4,9,-1.5994125951873244
4,4,10,-1.7819535191011384
4,4,11,-4.030392186269517
4,4,12,-3.061109702659468
4,4,13,-3.595846393488517
4,4,14,-1.5723452771506654
4,4,15,3.087995835166382
4,4,16,0.08046359383427433
4,4,17,0.2397592085511047
4,4,18,0.0
4,4,19,0.19748018059164885
4,4,20,-0.2604123454966524
19,行,目
4,4,1,-1.2210665375056158
4,4,2,-1.231326932780727
4,4,3,-0.2663996380304802
4,4,4,-0.4955388956204276
4,4,5,-0.9048354475724142
4,4,6,-1.065802728775013
4,4,7,-0.8202838751057687
4,4,8,-0.8975077696098939
4,4,9,-1.1720539918764874
4,4,10,-1.1852261017848518
4,4,11,-1.7725656351441605
4,4,12,-1.355421041031471
4,4,13,-1.577768005433396
4,4,14,-0.8484127612874068
4,4,15,1.2753858484312544
4,4,16,-0.13887902133148095
4,4,17,-0.018214784588241665
4,4,18,-0.19748018059164885
4,4,19,0.0
4,4,20,-0.31351821159542015
20,行,目
4,4,1,-1.5534026426394518
4,4,2,-1.8124492099245122
4,4,3,-0.04651482374580125
4,4,4,-0.3924346840151347
4,4,5,-1.3289378873061115
4,4,6,-1.7197679676668582
4,4,7,-1.1112966184412323
4,4,8,-1.445353627059228
4,4,9,-1.4744246200240536
4,4,10,-1.647467471446244
4,4,11,-4.070214305452608
4,4,12,-3.0238662385131527
4,4,13,-3.604480157245782
4,4,14,-1.3931026049301256
4,4,15,3.495665809487974
4,4,16,0.27626464430521386
4,4,17,0.40103182555257627
4,4,18,0.2604123454966524
4,4,19,0.31351821159542015
4,4,20,0.0
