m,n,times,F
4,4,1,0.0
4,4,2,-1.8654245357231931
4,4,3,-2.952952385885632
4,4,4,-2.123702429238032
4,4,5,-2.1882602329265604
4,4,6,-3.6016178649222343
4,4,7,-2.463595479405675
4,4,8,-3.4311113549382686
4,4,9,-3.2293983755821567
4,4,10,-2.4662976103148053
4,4,11,-2.797249855350765
4,4,12,-2.873018978906038
4,4,13,-2.256175977117403
4,4,14,-2.3267364184585446
4,4,15,-2.355804137200041
4,4,16,-3.994989842030397
4,4,17,-3.1919562926022276
4,4,18,-3.6456396454064937
4,4,19,-4.075065869313131
4,4,20,-1.9394490048459345
4,4,1,1.8654245357231931
4,4,2,0.0
4,4,3,-1.724258927563076
4,4,4,-0.41026901275390654
4,4,5,-0.562583764542009
4,4,6,-3.012582118754393
4,4,7,-0.9116901674892193
4,4,8,-2.5105189864937896
4,4,9,-2.2141695684518936
4,4,10,-0.9427552729731017
4,4,11,-1.445123064260463
4,4,12,-1.5807190150170753
4,4,13,-0.5125142694681021
4,4,14,-1.1696586932226107
4,4,15,-1.0986380221737246
4,4,16,-3.428669127810161
4,4,17,-2.107322609557158
4,4,18,-2.9989941778827873
4,4,19,-3.49290718148872
4,4,20,-0.2818716128950705
4,4,1,2.952952385885632
4,4,2,1.724258927563076
4,4,3,0.0
4,4,4,1.2306483208520989
4,4,5,0.9277191737507615
4,4,6,-1.642655721994953
4,4,7,0.7708911668695076
4,4,8,-1.2388367650517262
4,4,9,-0.690410008656202
4,4,10,0.63139627706144
4,4,11,0.3688575503998296
4,4,12,0.2823515337307756
4,4,13,1.4696354817672164
4,4,14,-0.38927896285597924
4,4,15,-0.18742548072030832
4,4,16,-2.3820477200425545
4,4,17,-0.8500669593591468
4,4,18,-1.6966282976855325
4,4,19,-2.5012121157183183
4,4,20,1.0775566773214158
4,4,1,2.123702429238032
4,4,2,0.41026901275390654
4,4,3,-1.2306483208520989
4,4,4,0.0
4,4,5,-0.1753484925058373
4,4,6,-2.4568143882072473
4,4,7,-0.47327590540052455
4,4,8,-2.0784462817788047
4,4,9,-1.728529843424205
4,4,10,-0.524009009441046
4,4,11,-0.9529836105846868
4,4,12,-1.0701390292952322
4,4,13,-0.04210244311656476
4,4,14,-0.9404116862198877
4,4,15,-0.8338662611003895
4,4,16,-3.001146264280425
4,4,17,-1.7081718230754004
4,4,18,-2.4903137931146655
4,4,19,-3.0934508238209144
4,4,20,0.07013889756690925
4,4,1,2.1882602329265604
4,4,2,0.562583764542009
4,4,3,-0.9277191737507615
4,4,4,0.1753484925058373
4,4,5,0.0
4,4,6,-1.9904467588653896
4,4,7,-0.25726448026836823
4,4,8,-1.7658551903761297
4,4,9,-1.392965482902372
4,4,10,-0.31483336545328
4,4,11,-0.6728854309526902
4,4,12,-0.7687118957871846
4,4,13,0.15865169563680676
4,4,14,-0.8210650975612219
4,4,15,-0.6964341969333719
4,4,16,-2.636176827580597
4,4,17,-1.4454930969062711
4,4,18,-2.0715065475277954
4,4,19,-2.7556515320837414
4,4,20,0.2198132227019752
4,4,1,3.6016178649222343
4,4,2,3.012582118754393
4,4,3,1.642655721994953
4,4,4,2.4568143882072473
4,4,5,1.9904467588653896
4,4,6,0.0
4,4,7,2.1165967708575764
4,4,8,-0.24598637634744572
4,4,9,0.6983565790796123
4,4,10,1.8301603996014046
4,4,11,2.0976906507114537
4,4,12,2.211769184603162
4,4,13,3.226944640519823
4,4,14,0.07441037811528371
4,4,15,0.3691299583432653
4,4,16,-1.578018726009228
4,4,17,0.06933401497506862
4,4,18,-0.45246152014159924
4,4,19,-1.7744549115105706
4,4,20,1.9905294252888948
4,4,1,2.463595479405675
4,4,2,0.9116901674892193
4,4,3,-0.7708911668695076
4,4,4,0.47327590540052455
4,4,5,0.25726448026836823
4,4,6,-2.1165967708575764
4,4,7,0.0
4,4,8,-1.7371533882550232
4,4,9,-1.326092461143823
4,4,10,-0.0771993993861922
4,4,11,-0.46547655388468484
4,4,12,-0.5776857014189812
4,4,13,0.5093979882305779
4,4,14,-0.7070220628465272
4,4,15,-0.5630470264420039
4,4,16,-2.7326377450628327
4,4,17,-1.3603813415974764
4,4,18,-2.160707302498922
4,4,19,-2.8362446105412316
4,4,20,0.4721295841832686
4,4,1,3.4311113549382686
4,4,2,2.5105189864937896
4,4,3,1.2388367650517262
4,4,4,2.0784462817788047
4,4,5,1.7658551903761297
4,4,6,0.24598637634744572
4,4,7,1.7371533882550232
4,4,8,0.0
4,4,9,0.6571464534281183
4,4,10,1.5733623583622653
4,4,11,1.5303676504222081
4,4,12,1.510366225643855
4,4,13,2.3827726849704067
4,4,14,0.16239003793141785
4,4,15,0.4465707934415362
4,4,16,-1.0004469422053577
4,4,17,0.221693205206958
4,4,18,-0.0438653874711592
4,4,19,-1.2324261914261885
4,4,20,1.8294307153828708
4,4,1,3.2293983755821567
4,4,2,2.2141695684518936
4,4,3,0.690410008656202
4,4,4,1.728529843424205
4,4,5,1.392965482902372
4,4,6,-0.6983565790796123
4,4,7,1.326092461143823
4,4,8,-0.6571464534281183
4,4,9,0.0
4,4,10,1.1537000006817584
4,4,11,1.0450978496868213
4,4,12,1.0063788256224873
4,4,13,2.0702771589824893
4,4,14,-0.13250988983155979
4,4,15,0.11347026039085802
4,4,16,-1.7885309128804254
4,4,17,-0.3389080888739923
4,4,18,-0.9129226105293636
4,4,19,-1.9643393555639852
4,4,20,1.4878042535280407
4,4,1,2.4662976103148053
4,4,2,0.9427552729731017
4,4,3,-0.63139627706144
4,4,4,0.524009009441046
4,4,5,0.31483336545328
4,4,6,-1.8301603996014046
4,4,7,0.0771993993861922
4,4,8,-1.5733623583622653
4,4,9,-1.1537000006817584
4,4,10,0.0
4,4,11,-0.3470809188484911
4,4,12,-0.44498133437000026
4,4,13,0.5617819523023665
4,4,14,-0.6579040890857911
4,4,15,-0.5070231019988161
4,4,16,-2.5221773968513195
4,4,17,-1.2324842336500221
4,4,18,-1.9139725261242655
4,4,19,-2.644839562405061
4,4,20,0.5182023028081556
4,4,1,2.797249855350765
4,4,2,1.445123064260463
4,4,3,-0.3688575503998296
4,4,4,0.9529836105846868
4,4,5,0.6728854309526902
4,4,6,-2.0976906507114537
4,4,7,0.46547655388468484
4,4,8,-1.5303676504222081
4,4,9,-1.0450978496868213
4,4,10,0.3470809188484911
4,4,11,0.0
4,4,12,-0.11230381748810508
4,4,13,1.1238374074007242
4,4,14,-0.5227848526512152
4,4,15,-0.3446005806052065
4,4,16,-2.665077328358914
4,4,17,-1.1111035783878893
4,4,18,-2.076297529867069
4,4,19,-2.7578878297053264
4,4,20,0.8531804267650867
4,4,1,2.873018978906038
4,4,2,1.5807190150170753
4,4,3,-0.2823515337307756
4,4,4,1.0701390292952322
4,4,5,0.7687118957871846
4,4,6,-2.211769184603162
4,4,7,0.5776857014189812
4,4,8,-1.510366225643855
4,4,9,-1.0063788256224873
4,4,10,0.44498133437000026
4,4,11,0.11230381748810508
4,4,12,0.0
4,4,13,1.2932330363550455
4,4,14,-0.4887107559895695
4,4,15,-0.3031978386946259
4,4,16,-2.693701610931119
4,4,17,-1.0718956173493643
4,4,18,-2.1260873801226365
4,4,19,-2.7766614743033986
4,4,20,0.9390262101474272
4,4,1,2.256175977117403
4,4,2,0.5125142694681021
4,4,3,-1.4696354817672164
4,4,4,0.04210244311656476
4,4,5,-0.15865169563680676
4,4,6,-3.226944640519823
4,4,7,-0.5093979882305779
4,4,8,-2.3827726849704067
4,4,9,-2.0702771589824893
4,4,10,-0.5617819523023665
4,4,11,-1.1238374074007242
4,4,12,-1.2932330363550455
4,4,13,0.0
4,4,14,-0.9563945296194692
4,4,15,-0.8539390161586583
4,4,16,-3.449318597796902
4,4,17,-1.9030785930975858
4,4,18,-3.0832691751291983
4,4,19,-3.4817987599168405
4,4,20,0.11198551549901795
4,4,1,2.3267364184585446
4,4,2,1.1696586932226107
4,4,3,0.38927896285597924
4,4,4,0.9404116862198877
4,4,5,0.8210650975612219
4,4,6,-0.07441037811528371
4,4,7,0.7070220628465272
4,4,8,-0.16239003793141785
4,4,9,0.13250988983155979
4,4,10,0.6579040890857911
4,4,11,0.5227848526512152
4,4,12,0.4887107559895695
4,4,13,0.9563945296194692
4,4,14,0.0
4,4,15,0.18224162671051536
4,4,16,-0.6723728197680001
4,4,17,-0.03871185123372364
4,4,18,-0.18855687713374275
4,4,19,-0.8230416349645547
4,4,20,0.9350774581533171
4,4,1,2.355804137200041
4,4,2,1.0986380221737246
4,4,3,0.18742548072030832
4,4,4,0.8338662611003895
4,4,5,0.6964341969333719
4,4,6,-0.3691299583432653
4,4,7,0.5630470264420039
4,4,8,-0.4465707934415362
4,4,9,-0.11347026039085802
4,4,10,0.5070231019988161
4,4,11,0.3446005806052065
4,4,12,0.3031978386946259
4,4,13,0.8539390161586583
4,4,14,-0.18224162671051536
4,4,15,0.0
4,4,16,-1.0372169382679173
4,4,17,-0.2942294982049744
4,4,18,-0.49582287367807987
4,4,19,-1.1982270679119922
4,4,20,0.826950893882674
4,4,1,3.994989842030397
4,4,2,3.428669127810161
4,4,3,2.3820477200425545
4,4,4,3.001146264280425
4,4,5,2.636176827580597
4,4,6,1.578018726009228
4,4,7,2.7326377450628327
4,4,8,1.0004469422053577
4,4,9,1.7885309128804254
4,4,10,2.5221773968513195
4,4,11,2.665077328358914
4,4,12,2.693701610931119
4,4,13,3.449318597796902
4,4,14,0.6723728197680001
4,4,15,1.0372169382679173
4,4,16,0.0
4,4,17,1.1361252969519537
4,4,18,1.1613046767788642
4,4,19,-0.3025932775869425
4,4,20,2.6155306309390296
4,4,1,3.1919562926022276
4,4,2,2.107322609557158
4,4,3,0.8500669593591468
4,4,4,1.7081718230754004
4,4,5,1.4454930969062711
4,4,6,-0.06933401497506862
4,4,7,1.3603813415974764
4,4,8,-0.221693205206958
4,4,9,0.3389080888739923
4,4,10,1.2324842336500221
4,4,11,1.1111035783878893
4,4,12,1.0718956173493643
4,4,13,1.9030785930975858
4,4,14,0.03871185123372364
4,4,15,0.2942294982049744
4,4,16,-1.1361252969519537
4,4,17,0.0
4,4,18,-0.29723973627682243
4,4,19,-1.3479196831875269
4,4,20,1.5438703700204768
4,4,1,3.6456396454064937
4,4,2,2.9989941778827873
4,4,3,1.6966282976855325
4,4,4,2.4903137931146655
4,4,5,2.0715065475277954
4,4,6,0.45246152014159924
4,4,7,2.160707302498922
4,4,8,0.0438653874711592
4,4,9,0.9129226105293636
4,4,10,1.9139725261242655
4,4,11,2.076297529867069
4,4,12,2.1260873801226365
4,4,13,3.0832691751291983
4,4,14,0.18855687713374275
4,4,15,0.49582287367807987
4,4,16,-1.1613046767788642
4,4,17,0.29723973627682243
4,4,18,0.0
4,4,19,-1.3999993292450275
4,4,20,2.0778966023883143
4,4,1,4.075065869313131
4,4,2,3.49290718148872
4,4,3,2.5012121157183183
4,4,4,3.0934508238209144
4,4,5,2.7556515320837414
4,4,6,1.7744549115105706
4,4,7,2.8362446105412316
4,4,8,1.2324261914261885
4,4,9,1.9643393555639852
4,4,10,2.644839562405061
4,4,11,2.7578878297053264
4,4,12,2.7766614743033986
4,4,13,3.4817987599168405
4,4,14,0.8230416349645547
4,4,15,1.1982270679119922
4,4,16,0.3025932775869425
4,4,17,1.3479196831875269
4,4,18,1.3999993292450275
4,4,19,0.0
4,4,20,2.7385941887029137
4,4,1,1.9394490048459345
4,4,2,0.2818716128950705
4,4,3,-1.0775566773214158
4,4,4,-0.07013889756690925
4,4,5,-0.2198132227019752
4,4,6,-1.9905294252888948
4,4,7,-0.4721295841832686
4,4,8,-1.8294307153828708
4,4,9,-1.4878042535280407
4,4,10,-0.5182023028081556
4,4,11,-0.8531804267650867
4,4,12,-0.9390262101474272
4,4,13,-0.11198551549901795
4,4,14,-0.9350774581533171
4,4,15,-0.826950893882674
4,4,16,-2.6155306309390296
4,4,17,-1.5438703700204768
4,4,18,-2.0778966023883143
4,4,19,-2.7385941887029137
4,4,20,0.0
1,行,目
2,行,目
3,行,目
4,行,目
5,行,目
6,行,目
7,行,目
8,行,目
9,行,目
10,行,目
11,行,目
12,行,目
13,行,目
14,行,目
15,行,目
16,行,目
17,行,目
18,行,目
19,行,目
20,行,目
