m,n,times,F
9,9,1,0.0
9,9,2,0.5155293375800747
9,9,3,-0.430914651041242
9,5,4,1.6832831161359845
9,7,5,-0.4189450503392134
9,9,6,1.50713849525983
9,9,7,0.6345171483019644
9,9,8,0.6380740311763735
9,9,9,1.9734128168371907
9,7,10,0.7056725682933325
9,7,11,2.571918443000069
9,9,12,2.8492423944328653
9,8,13,2.5643015957767616
9,8,14,1.2762932552362378
9,9,15,0.8559197244004507
9,9,16,1.211516821960911
9,9,17,1.5392826547502894
9,8,18,1.925534936375681
9,5,19,1.41301968408082
9,5,20,0.8790666643927388
9,9,1,-0.5155293375800747
9,9,2,0.0
9,9,3,-1.0711411475993111
9,5,4,1.6449694828115438
9,7,5,-0.985518498619886
9,9,6,1.262359624230934
9,9,7,0.1700495568653565
9,9,8,0.15460446942007233
9,9,9,1.798786569116218
9,7,10,0.35095919425507455
9,7,11,2.810306412368947
9,9,12,3.0517328519522278
9,8,13,2.694251968849089
9,8,14,1.0309391465743467
9,9,15,0.5298793167744851
9,9,16,0.8760697325300146
9,9,17,1.282507460113672
9,8,18,1.8606826098756801
9,5,19,1.307202525532232
9,5,20,0.6202312569681623
9,9,1,0.430914651041242
9,9,2,1.0711411475993111
9,9,3,0.0
9,5,4,2.1991422452755125
9,7,5,-0.04531725588852518
9,9,6,2.2392247619571877
9,9,7,1.1733977624071967
9,9,8,1.20261886557771
9,9,9,2.5470932246251388
9,7,10,1.1598466269112007
9,7,11,3.349239258257816
9,9,12,3.6989877630838373
9,8,13,3.3316382779307347
9,8,14,1.6604612875609073
9,9,15,1.2599527039602505
9,9,16,1.8142083973607235
9,9,17,2.103777730716975
9,8,18,2.646248430813858
9,5,19,1.915049302290176
9,5,20,1.4252521349793892
5,9,1,-1.6832831161359845
5,9,2,-1.6449694828115438
5,9,3,-2.1991422452755125
5,5,4,0.0
5,7,5,-1.9442432459898873
5,9,6,-1.026053580616962
5,9,7,-1.4234347439862178
5,9,8,-1.5275345476017639
5,9,9,-0.056141801212919736
5,7,10,-0.9949071276174981
5,7,11,0.3410843537461778
5,9,12,0.3496590986544226
5,8,13,0.2513299039386376
5,8,14,-0.21637075804404232
5,9,15,-0.6899111628546141
5,9,16,-0.9699341855456663
5,9,17,-0.48589544365541726
5,8,18,-0.40563477821478533
5,5,19,-0.26826811545932844
5,5,20,-1.0868683132085983
7,9,1,0.4189450503392134
7,9,2,0.985518498619886
7,9,3,0.04531725588852518
7,5,4,1.9442432459898873
7,7,5,0.0
7,9,6,2.0097722395450526
7,9,7,1.0728117387747262
7,9,8,1.1001835424841888
7,9,9,2.2686193747341585
7,7,10,1.050330439332337
7,7,11,2.963501516086412
7,9,12,3.2820101833092865
7,8,13,2.954371540624558
7,8,14,1.4824712132456257
7,9,15,1.1373665342012127
7,9,16,1.6334038934416557
7,9,17,1.882559099657393
7,8,18,2.3578477609922253
7,5,19,1.6982700566589983
7,5,20,1.2785121550512144
9,9,1,-1.50713849525983
9,9,2,-1.262359624230934
9,9,3,-2.2392247619571877
9,5,4,1.026053580616962
9,7,5,-2.0097722395450526
9,9,6,0.0
9,9,7,-0.9664723223209741
9,9,8,-1.075596287654338
9,9,9,1.0143988916563536
9,7,10,-0.5282174496478282
9,7,11,2.2312538917031266
9,9,12,2.3383710827617015
9,8,13,1.9811566770381166
9,8,14,0.42270552118984817
9,9,15,-0.18402629338705556
9,9,16,-0.1997381459302569
9,9,17,0.4026087852824519
9,8,18,0.9086741943582421
9,5,19,0.6100094387746728
9,5,20,-0.535968283081236
9,9,1,-0.6345171483019644
9,9,2,-0.1700495568653565
9,9,3,-1.1733977624071967
9,5,4,1.4234347439862178
9,7,5,-1.0728117387747262
9,9,6,0.9664723223209741
9,9,7,0.0
9,9,8,-0.023952927553785582
9,9,9,1.5780647446452525
9,7,10,0.20290949443929893
9,7,11,2.4095146350320507
9,9,12,2.629598436972617
9,8,13,2.325407555914488
9,8,14,0.9008932820488005
