m,n,times,F
1,行,目
5,5,1,0.0
5,5,2,1.953784581167221
5,5,3,-3.469644771983805
5,5,4,1.5293711570773552
5,5,5,4.029750800055128
5,5,6,6.2634111938212875
5,5,7,3.769003685894742
5,5,8,3.1357275283399204
5,5,9,9.411052105523241
5,5,10,13.881535989795665
5,5,11,-0.46915539816705903
5,5,12,0.7850468735598379
5,5,13,5.910190117245773
5,5,14,13.638293962711218
5,5,15,8.159844685773633
5,5,16,3.746308727866625
5,5,17,3.9311614543673876
5,5,18,-0.14725152641810177
5,5,19,0.10714860413874537
5,5,20,1.979986827994938
2,行,目
5,5,1,-1.953784581167221
5,5,2,0.0
5,5,3,-3.881141164252907
5,5,4,-0.6259634582554743
5,5,5,1.3581182272869854
5,5,6,2.733439610150022
5,5,7,1.2029966400445857
5,5,8,1.050993512089928
5,5,9,4.591972367544607
5,5,10,6.464627832519668
5,5,11,-1.9413370535085523
5,5,12,-0.4477660883161804
5,5,13,2.36942466867304
5,5,14,3.9613891151783283
5,5,15,2.459052168459532
5,5,16,0.48243788256055664
5,5,17,1.294538071978984
5,5,18,-1.0741929501971486
5,5,19,-1.124340274143319
5,5,20,-0.5163009895024417
3,行,目
5,5,1,3.469644771983805
5,5,2,3.881141164252907
5,5,3,0.0
5,5,4,3.7857765215565213
5,5,5,5.591231353927187
5,5,6,7.323278384150412
5,5,7,5.380133476684003
5,5,8,4.770768602591177
5,5,9,9.629386014199582
5,5,10,12.339435664692454
5,5,11,2.397826836625406
5,5,12,2.4181820584364027
5,5,13,7.034284831862959
5,5,14,10.457463601599281
5,5,15,8.124271128811772
5,5,16,5.4252059794141045
5,5,17,5.512519835671717
5,5,18,1.2852909210993195
5,5,19,1.9762629737022566
5,5,20,4.208383212704725
4,行,目
5,5,1,-1.5293711570773552
5,5,2,0.6259634582554743
5,5,3,-3.7857765215565213
5,5,4,0.0
5,5,5,2.20368042639037
5,5,6,3.8291941855358
5,5,7,2.018361112419148
5,5,8,1.7486259778206685
5,5,9,6.049613919218651
5,5,10,8.501285856691288
5,5,11,-1.5307913980199654
5,5,12,-0.016427852369735072
5,5,13,3.44634229641227
5,5,14,5.925812170105815
5,5,15,3.8604883134461665
5,5,16,1.3693673891179015
5,5,17,2.1295004232660433
5,5,18,-0.7430213931452185
5,5,19,-0.7093477536818189
5,5,20,0.1687926818059276
5,行,目
5,5,1,-4.029750800055128
5,5,2,-1.3581182272869854
5,5,3,-5.591231353927187
5,5,4,-2.20368042639037
5,5,5,0.0
5,5,6,1.3930356491966887
5,5,7,-0.15185457689442877
5,5,8,-0.18804046328201648
5,5,9,3.3043038783815355
5,5,10,5.203803710103355
5,5,11,-3.6288128179700947
5,5,12,-1.496731108367367
5,5,13,0.9846451140701086
5,5,14,2.395745698456935
5,5,15,0.8748780339825412
5,5,16,-1.1395704279819032
5,5,17,-0.06434893393117354
5,5,18,-1.9641019869658063
5,5,19,-2.290516593246684
5,5,20,-2.1803408314697625
6,行,目
5,5,1,-6.2634111938212875
5,5,2,-2.733439610150022
5,5,3,-7.323278384150412
5,5,4,-3.8291941855358
5,5,5,-1.3930356491966887
5,5,6,0.0
5,5,7,-1.5388279226746508
5,5,8,-1.4388280475808832
5,5,9,1.942728026064934
5,5,10,3.830874634168697
5,5,11,-5.36452325966344
5,5,12,-2.5276582137749077
5,5,13,-0.4568652687198687
5,5,14,0.6701762256137348
5,5,15,-0.8265148137536991
5,5,16,-2.841207712238291
5,5,17,-1.4573924178734001
5,5,18,-2.8270388760018466
5,5,19,-3.4422083284490244
5,5,20,-3.9139263242590148
7,行,目
5,5,1,-3.769003685894742
5,5,2,-1.2029966400445857
5,5,3,-5.380133476684003
5,5,4,-2.018361112419148
5,5,5,0.15185457689442877
5,5,6,1.5388279226746508
5,5,7,0.0
5,5,8,-0.04994883830497818
5,5,9,3.4376598746006857
5,5,10,5.325446977176168
5,5,11,-3.4251315840326693
5,5,12,-1.3789609492705754
5,5,13,1.136827114169131
5,5,14,2.5625753850078916
5,5,15,1.0511027787087481
5,5,16,-0.9514255508844407
5,5,17,0.08776619923822143
5,5,18,-1.8645699528853135
5,5,19,-2.1574174148665843
5,5,20,-1.9835817794600947
8,行,目
5,5,1,-3.1357275283399204
5,5,2,-1.050993512089928
5,5,3,-4.770768602591177
5,5,4,-1.7486259778206685
5,5,5,0.18804046328201648
5,5,6,1.4388280475808832
5,5,7,0.04994883830497818
5,5,8,0.0
5,5,9,3.131661581723087
5,5,10,4.749411082815801
5,5,11,-2.9897717874869163
5,5,12,-1.2668883225271708
5,5,13,1.073262895014275
5,5,14,2.253027153821031
5,5,15,0.9726332723643973
5,5,16,-0.7812767416592141
5,5,17,0.12985155983366858
5,5,18,-1.7597518661712046
5,5,19,-1.9807571473370646
5,5,20,-1.694724066162381
9,行,目
5,5,1,-9.411052105523241
5,5,2,-4.591972367544607
5,5,3,-9.629386014199582
5,5,4,-6.049613919218651
5,5,5,-3.3043038783815355
5,5,6,-1.942728026064934
5,5,7,-3.4376598746006857
5,5,8,-3.131661581723087
5,5,9,0.0
5,5,10,1.799935965088105
5,5,11,-7.719860832511242
5,5,12,-3.889426851651902
5,5,13,-2.4670569761283105
5,5,14,-1.8849341933622368
5,5,15,-3.2667218298967278
5,5,16,-5.211049844986452
5,5,17,-3.3673381828498408
5,5,18,-3.955097613856014
5,5,19,-4.964985940499948
5,5,20,-6.304221281308874
10,行,目
5,5,1,-13.881535989795665
5,5,2,-6.464627832519668
5,5,3,-12.339435664692454
5,5,4,-8.501285856691288
5,5,5,-5.203803710103355
5,5,6,-3.830874634168697
5,5,7,-5.325446977176168
5,5,8,-4.749411082815801
5,5,9,-1.799935965088105
5,5,10,0.0
5,5,11,-10.454891534399877
5,5,12,-5.146054223066928
5,5,13,-4.46670995893704
5,5,14,-4.709062929021749
5,5,15,-5.964590607600723
5,5,16,-7.877332964022308
5,5,17,-5.267350030495954
5,5,18,-4.966489080087833
5,5,19,-6.426680872123844
5,5,20,-9.04925029348561
11,行,目
5,5,1,0.46915539816705903
5,5,2,1.9413370535085523
5,5,3,-2.397826836625406
5,5,4,1.5307913980199654
5,5,5,3.6288128179700947
5,5,6,5.36452325966344
5,5,7,3.4251315840326693
5,5,8,2.9897717874869163
5,5,9,7.719860832511242
5,5,10,10.454891534399877
5,5,11,0.0
5,5,12,0.9368915831461182
5,5,13,5.016388868937758
5,5,14,8.203818829306078
5,5,15,5.826152791417119
5,5,16,3.0881003810440997
5,5,17,3.5500236700850722
5,5,18,0.038410342813190536
5,5,19,0.3342379107145937
5,5,20,1.8228505382966853
12,行,目
5,5,1,-0.7850468735598379
5,5,2,0.4477660883161804
5,5,3,-2.4181820584364027
5,5,4,0.016427852369735072
5,5,5,1.496731108367367
5,5,6,2.5276582137749077
5,5,7,1.3789609492705754
5,5,8,1.2668883225271708
5,5,9,3.889426851651902
5,5,10,5.146054223066928
5,5,11,-0.9368915831461182
5,5,12,0.0
5,5,13,2.243357807971276
5,5,14,3.216091099335802
5,5,15,2.230658598129351
5,5,16,0.8412648155743017
5,5,17,1.4483375041255995
5,5,18,-0.6141128725103908
5,5,19,-0.5260311606964242
5,5,20,0.11934060461312694
13,行,目
5,5,1,-5.910190117245773
5,5,2,-2.36942466867304
5,5,3,-7.034284831862959
5,5,4,-3.44634229641227
5,5,5,-0.9846451140701086
5,5,6,0.4568652687198687
5,5,7,-1.136827114169131
5,5,8,-1.073262895014275
5,5,9,2.4670569761283105
5,5,10,4.46670995893704
5,5,11,-5.016388868937758
5,5,12,-2.243357807971276
5,5,13,0.0
5,5,14,1.3022556551795348
5,5,15,-0.2966232439915213
5,5,16,-2.4059955363498755
5,5,17,-1.0510602661374526
5,5,18,-2.5889431119490762
5,5,19,-3.1449300484003193
5,5,20,-3.514887839937577
14,行,目
5,5,1,-13.638293962711218
5,5,2,-3.9613891151783283
5,5,3,-10.457463601599281
5,5,4,-5.925812170105815
5,5,5,-2.395745698456935
5,5,6,-0.6701762256137348
5,5,7,-2.5625753850078916
5,5,8,-2.253027153821031
5,5,9,1.8849341933622368
5,5,10,4.709062929021749
5,5,11,-8.203818829306078
5,5,12,-3.216091099335802
5,5,13,-1.3022556551795348
5,5,14,0.0
5,5,15,-2.2900246705615617
5,5,16,-4.981652208237247
5,5,17,-2.473774563321757
5,5,18,-3.362282124003104
5,5,19,-4.3836467391317395
5,5,20,-6.450296368946823
15,行,目
5,5,1,-8.159844685773633
5,5,2,-2.459052168459532
5,5,3,-8.124271128811772
5,5,4,-3.8604883134461665
5,5,5,-0.8748780339825412
5,5,6,0.8265148137536991
5,5,7,-1.0511027787087481
5,5,8,-0.9726332723643973
5,5,9,3.2667218298967278
5,5,10,5.964590607600723
5,5,11,-5.826152791417119
5,5,12,-2.230658598129351
5,5,13,0.2966232439915213
5,5,14,2.2900246705615617
5,5,15,0.0
5,5,16,-2.6826491978469
5,5,17,-0.9520447611254664
5,5,18,-2.5718306976879717
5,5,19,-3.2326477685988726
5,5,20,-4.055349246626586
16,行,目
5,5,1,-3.746308727866625
5,5,2,-0.48243788256055664
5,5,3,-5.4252059794141045
5,5,4,-1.3693673891179015
5,5,5,1.1395704279819032
5,5,6,2.841207712238291
5,5,7,0.9514255508844407
5,5,8,0.7812767416592141
5,5,9,5.211049844986452
5,5,10,7.877332964022308
5,5,11,-3.0881003810440997
5,5,12,-0.8412648155743017
5,5,13,2.4059955363498755
5,5,14,4.981652208237247
5,5,15,2.6826491978469
5,5,16,0.0
5,5,17,1.0622886884690745
5,5,18,-1.4351648588967179
5,5,19,-1.652162543415934
5,5,20,-1.3024964789871167
17,行,目
5,5,1,-3.9311614543673876
5,5,2,-1.294538071978984
