m,n,times,F
1,行,目
5,5,1,0.0
5,5,2,0.5686789771044501
5,5,3,-1.4673171560463252
5,5,4,1.808592111032511
5,5,5,1.2816065437355317
5,5,6,-0.3094585945480228
5,5,7,-0.3353094453373183
5,5,8,1.2105765329710652
5,5,9,-1.7165858576554314
5,5,10,-3.4157631032428997
5,5,11,3.3017953691494286
5,5,12,2.0030213297956965
5,5,13,0.48449017487845975
5,5,14,0.2367847945966199
5,5,15,1.318220656961594
5,5,16,1.5244693973786172
5,5,17,1.7364211187355374
5,5,18,-0.6228681131562943
5,5,19,0.23157278914367013
5,5,20,-1.0337936732242414
2,行,目
5,5,1,-0.5686789771044501
5,5,2,0.0
5,5,3,-2.3547928607581405
5,5,4,1.4606436932632993
5,5,5,0.9333611285311073
5,5,6,-0.8444782007232307
5,5,7,-0.8565089617012208
5,5,8,0.9233979521886234
5,5,9,-2.3351165803474383
5,5,10,-5.229469675788947
5,5,11,3.1207828310813395
5,5,12,1.7655797593578006
5,5,13,-0.0932178984281514
5,5,14,-0.33159868493841316
5,5,15,0.8335871266275248
5,5,16,1.2020551121100842
5,5,17,1.3648742625104493
5,5,18,-1.570797301071633
5,5,19,-0.5307487253957801
5,5,20,-1.9455601321541003
3,行,目
5,5,1,1.4673171560463252
5,5,2,2.3547928607581405
5,5,3,0.0
5,5,4,3.7248000245107615
5,5,5,2.5661389513334156
5,5,6,0.9710175233522375
5,5,7,0.9081361391863889
5,5,8,2.1747253858126707
5,5,9,-0.6244708073605426
5,5,10,-1.9686734810707962
5,5,11,4.3915145250024405
5,5,12,2.9360835071311957
5,5,13,2.239773371173038
5,5,14,1.8137312455834085
5,5,15,3.651514051145669
5,5,16,2.7950547312848593
5,5,17,3.9201071179050997
5,5,18,1.2699088507276626
5,5,19,2.3385600070984442
5,5,20,0.6154124694005015
4,行,目
5,5,1,-1.808592111032511
5,5,2,-1.4606436932632993
5,5,3,-3.7248000245107615
5,5,4,0.0
5,5,5,-0.08802550275024698
5,5,6,-1.9422845620053466
5,5,7,-1.9232125751721694
5,5,8,0.1470035619614203
5,5,9,-3.3398869611375965
5,5,10,-6.931570463164573
5,5,11,2.3049072484995277
5,5,12,1.0318946862947462
5,5,13,-1.5360699886299793
5,5,14,-1.646933647673428
5,5,15,-0.9811647240520223
5,5,16,0.20129313766445328
5,5,17,-0.29604547313530166
5,5,18,-3.256479711409924
5,5,19,-2.294071916613361
5,5,20,-3.449421667703136
5,行,目
5,5,1,-1.2816065437355317
5,5,2,-0.9333611285311073
5,5,3,-2.5661389513334156
5,5,4,0.08802550275024698
5,5,5,0.0
5,5,6,-1.4604139771594897
5,5,7,-1.4629239699366863
5,5,8,0.18839286071417105
5,5,9,-2.642254148540629
5,5,10,-4.133686055985682
5,5,11,2.0730048187878474
5,5,12,0.9765029811585055
5,5,13,-0.9927074327413454
5,5,14,-1.1261341283925217
5,5,15,-0.5151130039536456
5,5,16,0.23625690715696093
5,5,17,-0.10188740786399351
5,5,18,-1.982997042146517
5,5,19,-1.341652039987829
5,5,20,-2.254131415007531
6,行,目
5,5,1,0.3094585945480228
5,5,2,0.8444782007232307
5,5,3,-0.9710175233522375
5,5,4,1.9422845620053466
5,5,5,1.4604139771594897
5,5,6,0.0
5,5,7,-0.030768636462690607
5,5,8,1.3723773067794833
5,5,9,-1.3261123706393296
5,5,10,-2.510880016817519
5,5,11,3.3684327311638476
5,5,12,2.127780123822313
5,5,13,0.7685565543880416
5,5,14,0.5338318712535162
5,5,15,1.506607400232988
5,5,16,1.6856527313270966
5,5,17,1.8708728837733908
5,5,18,-0.1615557470060023
5,5,19,0.5775065561889711
5,5,20,-0.553749490560446
7,行,目
5,5,1,0.3353094453373183
5,5,2,0.8565089617012208
5,5,3,-0.9081361391863889
5,5,4,1.9232125751721694
5,5,5,1.4629239699366863
5,5,6,0.030768636462690607
5,5,7,0.0
5,5,8,1.3795617885197828
5,5,9,-1.2725279064609978
5,5,10,-2.3771173521483524
5,5,11,3.350292874044552
5,5,12,2.127291904435434
5,5,13,0.7828434040376949
5,5,14,0.5545357798030759
5,5,15,1.4932334911316305
5,5,16,1.68460625671772
5,5,17,1.848540712135594
5,5,18,-0.11619493272454154
5,5,19,0.5973504161040308
5,5,20,-0.49904453041398844
8,行,目
5,5,1,-1.2105765329710652
5,5,2,-0.9233979521886234
5,5,3,-2.1747253858126707
5,5,4,-0.1470035619614203
5,5,5,-0.18839286071417105
5,5,6,-1.3723773067794833
5,5,7,-1.3795617885197828
5,5,8,0.0
5,5,9,-2.3541209784940738
5,5,10,-3.2223253542419394
5,5,11,1.621750535283051
5,5,12,0.7002222757781789
5,5,13,-0.9694987427408832
5,5,14,-1.0816925548287244
5,5,15,-0.6016305173795435
5,5,16,0.008528830023097815
5,5,17,-0.2969885656558734
5,5,18,-1.6801003697297274
5,5,19,-1.2052679267488098
5,5,20,-1.9096961411587825
9,行,目
5,5,1,1.7165858576554314
5,5,2,2.3351165803474383
5,5,3,0.6244708073605426
5,5,4,3.3398869611375965
5,5,5,2.642254148540629
5,5,6,1.3261123706393296
5,5,7,1.2725279064609978
5,5,8,2.3541209784940738
5,5,9,0.0
5,5,10,-0.5497398841226653
5,5,11,4.308767347776147
5,5,12,3.0431846582518367
5,5,13,2.2568357677643043
5,5,14,1.9712147493954435
5,5,15,3.0740403917089303
5,5,16,2.8402167882864173
5,5,17,3.351976761177435
5,5,18,1.530124148298335
5,5,19,2.2238392640602576
5,5,20,1.085855053965008
10,行,目
5,5,1,3.4157631032428997
5,5,2,5.229469675788947
5,5,3,1.9686734810707962
5,5,4,6.931570463164573
5,5,5,4.133686055985682
5,5,6,2.510880016817519
5,5,7,2.3771173521483524
5,5,8,3.2223253542419394
5,5,9,0.5497398841226653
5,5,10,0.0
5,5,11,5.65315623091601
5,5,12,3.9513290285457274
5,5,13,5.012619666365473
5,5,14,4.042945728090046
5,5,15,9.351063673568856
5,5,16,4.339462069676573
5,5,17,8.349306550187277
5,5,18,4.9274775917770555
5,5,19,7.021088351712912
5,5,20,3.1639871133196196
11,行,目
5,5,1,-3.3017953691494286
5,5,2,-3.1207828310813395
5,5,3,-4.3915145250024405
5,5,4,-2.3049072484995277
5,5,5,-2.0730048187878474
5,5,6,-3.3684327311638476
5,5,7,-3.350292874044552
5,5,8,-1.621750535283051
5,5,9,-4.308767347776147
5,5,10,-5.65315623091601
5,5,11,0.0
5,5,12,-0.8476028516328707
5,5,13,-3.1609826667438607
5,5,14,-3.2125143228353834
5,5,15,-2.9088900076555615
5,5,16,-1.8506239053562863
5,5,17,-2.540180416876045
5,5,18,-4.009309249695239
5,5,19,-3.532228086816045
5,5,20,-4.179476618550848
12,行,目
5,5,1,-2.0030213297956965
5,5,2,-1.7655797593578006
5,5,3,-2.9360835071311957
5,5,4,-1.0318946862947462
5,5,5,-0.9765029811585055
5,5,6,-2.127780123822313
5,5,7,-2.127291904435434
5,5,8,-0.7002222757781789
5,5,9,-3.0431846582518367
5,5,10,-3.9513290285457274
5,5,11,0.8476028516328707
5,5,12,0.0
5,5,13,-1.806744603739643
5,5,14,-1.8938595191835503
5,5,15,-1.4997733641007347
5,5,16,-0.7814668401564939
5,5,17,-1.1987109639383078
5,5,18,-2.502398155496906
5,5,19,-2.062618456986652
5,5,20,-2.7013835214375126
13,行,目
5,5,1,-0.48449017487845975
5,5,2,0.0932178984281514
5,5,3,-2.239773371173038
5,5,4,1.5360699886299793
5,5,5,0.9927074327413454
5,5,6,-0.7685565543880416
5,5,7,-0.7828434040376949
5,5,8,0.9694987427408832
5,5,9,-2.2568357677643043
5,5,10,-5.012619666365473
5,5,11,3.1609826667438607
5,5,12,1.806744603739643
5,5,13,0.0
5,5,14,-0.2443544254221475
5,5,15,0.9338288611311493
5,5,16,1.2587859871224147
5,5,17,1.4495138593610968
5,5,18,-1.4350669253000838
5,5,19,-0.40783636047470545
5,5,20,-1.822056083640549
14,行,目
5,5,1,-0.2367847945966199
5,5,2,0.33159868493841316
5,5,3,-1.8137312455834085
5,5,4,1.646933647673428
5,5,5,1.1261341283925217
5,5,6,-0.5338318712535162
5,5,7,-0.5545357798030759
5,5,8,1.0816925548287244
5,5,9,-1.9712147493954435
5,5,10,-4.042945728090046
5,5,11,3.2125143228353834
5,5,12,1.8938595191835503
5,5,13,0.2443544254221475
5,5,14,0.0
5,5,15,1.1071962513108848
5,5,16,1.378826311101566
5,5,17,1.5638231797270195
5,5,18,-0.9824695742438949
5,5,19,-0.0677014190540194
5,5,20,-1.385708232438359
15,行,目
5,5,1,-1.318220656961594
5,5,2,-0.8335871266275248
5,5,3,-3.651514051145669
5,5,4,0.9811647240520223
5,5,5,0.5151130039536456
5,5,6,-1.506607400232988
5,5,7,-1.4932334911316305
5,5,8,0.6016305173795435
5,5,9,-3.0740403917089303
5,5,10,-9.351063673568856
5,5,11,2.9088900076555615
5,5,12,1.4997733641007347
5,5,13,-0.9338288611311493
5,5,14,-1.1071962513108848
5,5,15,0.0
5,5,16,0.8168850958773883
5,5,17,0.8137083924418765
5,5,18,-3.331223964346279
5,5,19,-1.9692913429865246
5,5,20,-3.404229872704591
16,行,目
5,5,1,-1.5244693973786172
5,5,2,-1.2020551121100842
5,5,3,-2.7950547312848593
5,5,4,-0.20129313766445328
5,5,5,-0.23625690715696093
5,5,6,-1.6856527313270966
5,5,7,-1.68460625671772
5,5,8,-0.008528830023097815
5,5,9,-2.8402167882864173
5,5,10,-4.339462069676573
5,5,11,1.8506239053562863
5,5,12,0.7814668401564939
5,5,13,-1.2587859871224147
5,5,14,-1.378826311101566
5,5,15,-0.8168850958773883
5,5,16,0.0
5,5,17,-0.4034763266272299
5,5,18,-2.2424186022212695
