m,n,times,F
1,行,目
6,6,1,0.0
6,8,2,-1.3270115624081806
6,7,3,0.6457338691702179
6,8,4,-2.893376620098417
6,6,5,-3.2799406827548516
6,5,6,-3.1193597926641354
6,6,7,-4.813793109648119
6,7,8,-5.21182750390487
6,9,9,-8.655917063000885
6,9,10,-6.642024634820292
6,7,11,-2.1696227439347315
6,5,12,-1.6147914570607265
6,9,13,-6.911499031734998
6,5,14,-9.333390720988941
6,7,15,-7.828050606132578
6,9,16,-4.852021221137568
6,6,17,-8.190657586499222
6,8,18,-3.5910826181149735
6,9,19,-1.7683836315801547
6,8,20,-4.677600467035289
2,行,目
8,6,1,1.3270115624081806
8,8,2,0.0
8,7,3,1.6172721734098476
8,8,4,-1.003817576063288
8,6,5,-1.2504179416807035
8,5,6,-0.7220678462435912
8,6,7,-1.9153055703729769
8,7,8,-1.8613448009729054
8,9,9,-4.567642043506528
8,9,10,-4.2720577859101505
8,7,11,-0.7697861471165093
8,5,12,-0.5787848625194457
8,9,13,-3.525430712988129
8,5,14,-3.8137465634731256
8,7,15,-4.10904992422019
8,9,16,-2.9117249683883593
8,6,17,-3.7237898720992098
8,8,18,-1.867525942834646
8,9,19,-0.8043009767177812
8,8,20,-2.399171696203961
3,行,目
7,6,1,-0.6457338691702179
7,8,2,-1.6172721734098476
7,7,3,0.0
7,8,4,-2.6038623378774477
7,6,5,-2.608236932098388
7,5,6,-2.126583852655466
7,6,7,-3.2048526864207227
7,7,8,-3.3306708555055913
7,9,9,-5.7185301465404965
7,9,10,-5.3786207655520615
7,7,11,-2.184210054784457
7,5,12,-1.717075396217508
7,9,13,-4.862641965735934
7,5,14,-4.577114448008228
7,7,15,-5.089301572469962
7,9,16,-4.21495955840327
7,6,17,-4.660051900996388
7,8,18,-3.2383504479795495
7,9,19,-2.092859677516636
7,8,20,-3.761320241825628
4,行,目
8,6,1,2.893376620098417
8,8,2,1.003817576063288
8,7,3,2.6038623378774477
8,8,4,0.0
8,6,5,-0.40107526185800135
8,5,6,0.24637202007562123
8,6,7,-1.155011776714651
8,7,8,-0.9660155610985965
8,9,9,-4.117507187348941
8,9,10,-3.734401340311472
8,7,11,0.09576735373785483
8,5,12,0.10954895698865028
8,9,13,-2.853432012129544
8,5,14,-3.6889377214199093
8,7,15,-3.7449260889087226
8,9,16,-2.1886184530952075
8,6,17,-3.410450156708608
8,8,18,-1.0643027609116726
8,9,19,-0.07103698301642837
8,8,20,-1.6229630673680322
5,行,目
6,6,1,3.2799406827548516
6,8,2,1.2504179416807035
6,7,3,2.608236932098388
6,8,4,0.40107526185800135
6,6,5,0.0
6,5,6,0.6597269596734862
6,6,7,-0.6913467506353409
6,7,8,-0.45975007866817397
6,9,9,-3.4627514327702396
6,9,10,-3.0562295293227977
