m,n,times,F
1,行,目
8,8,1,0.0
8,9,2,2.0179535175782273
8,10,3,2.081904928682174
8,9,4,0.2806760188631479
8,8,5,0.3297093386905973
8,6,6,1.757069118069398
8,6,7,0.5063276642024696
8,9,8,0.34298822105684773
8,8,9,-1.1584362980956122
8,8,10,-0.030823066110155145
8,6,11,0.5679539198325482
8,9,12,-0.014053012757286753
8,7,13,0.2260450865888608
8,7,14,1.2720501296882878
8,7,15,-0.21870748393772624
8,7,16,0.7796837854635251
8,6,17,0.3565192975443788
8,9,18,0.1334114469782049
8,10,19,1.404711779500335
8,10,20,0.8351580408685136
2,行,目
9,8,1,-2.0179535175782273
9,9,2,0.0
9,10,3,0.46283933609447814
9,9,4,-2.3521325695696724
9,8,5,-1.858768991586817
9,6,6,-0.5025462998783539
9,6,7,-1.7292336709249532
9,9,8,-1.8783385717286911
9,8,9,-3.4870339137471413
9,8,10,-2.4789022736808266
9,6,11,-1.6646355438600426
9,9,12,-1.9325101722531777
9,7,13,-2.168514389471923
9,7,14,-0.7567528020395577
9,7,15,-2.5225828246994877
9,7,16,-1.5661476072933864
9,6,17,-1.775299328540906
9,9,18,-2.147818243227049
9,10,19,-1.085908914313684
9,10,20,-1.4205836027785812
3,行,目
10,8,1,-2.081904928682174
10,9,2,-0.46283933609447814
10,10,3,0.0
10,9,4,-2.2682920676843055
10,8,5,-1.9262711071466596
10,6,6,-0.8061352639762897
10,6,7,-1.6918486620725706
10,9,8,-1.9891436564782026
10,8,9,-3.071500217818378
10,8,10,-2.328259934197536
10,6,11,-1.6470482544167426
10,9,12,-2.0805789217973323
10,7,13,-2.044302683279945
10,7,14,-1.035895897645818
10,7,15,-2.3125535214708113
10,7,16,-1.6264235130141933
10,6,17,-1.74315853594641
10,9,18,-2.188824368280317
10,10,19,-1.3842428256001864
10,10,20,-1.6618253696069263
4,行,目
9,8,1,-0.2806760188631479
9,9,2,2.3521325695696724
9,10,3,2.2682920676843055
9,9,4,0.0
9,8,5,0.15541640146525423
9,6,6,2.759000354853841
9,6,7,0.5515073543662968
9,9,8,0.16531519598461297
9,8,9,-2.5822828519933645
9,8,10,-0.5402245314939113
9,6,11,0.6703766116429754
9,9,12,-0.26010997237734346
9,7,13,-0.06856549833676621
9,7,14,1.5271104825566575
9,7,15,-0.9147301732277987
9,7,16,0.9658997324798615
9,6,17,0.23823776932223284
9,9,18,-0.14553805712981796
9,10,19,1.6739047653159214
9,10,20,0.8226809912028569
5,行,目
8,8,1,-0.3297093386905973
8,9,2,1.858768991586817
8,10,3,1.9262711071466596
8,9,4,-0.15541640146525423
8,8,5,0.0
8,6,6,1.671675171065537
8,6,7,0.18734829626053767
8,9,8,0.013057490269277366
8,8,9,-1.8143259631993651
8,8,10,-0.4933150721208403
8,6,11,0.26310708397179594
8,9,12,-0.31425683625095796
8,7,13,-0.18660019074331782
8,7,14,1.0812986029669727
8,7,15,-0.7017762004782023
8,7,16,0.4931811386272142
8,6,17,0.029165953634337653
8,9,18,-0.23466141468670726
8,10,19,1.1566454524980774
8,10,20,0.5500120329939613
6,行,目
6,8,1,-1.757069118069398
6,9,2,0.5025462998783539
6,10,3,0.8061352639762897
6,9,4,-2.759000354853841
6,8,5,-1.671675171065537
6,6,6,0.0
6,6,7,-2.1718789799789326
6,9,8,-1.5921863133525076
6,8,9,-4.612183455625741
6,8,10,-3.0318094421206485
6,6,11,-2.0257209468962016
6,9,12,-1.5370713684003958
6,7,13,-2.9114676183362125
6,7,14,-0.3420394649558554
6,7,15,-3.342175971077366
6,7,16,-1.6049505387029004
6,6,17,-2.0092353553678066
6,9,18,-1.9641153823567334
6,10,19,-0.6238121401928728
6,10,20,-0.9973017220526282
7,行,目
6,8,1,-0.5063276642024696
6,9,2,1.7292336709249532
6,10,3,1.6918486620725706
6,9,4,-0.5515073543662968
6,8,5,-0.18734829626053767
6,6,6,2.1718789799789326
6,6,7,0.0
6,9,8,-0.16272173322773062
6,8,9,-2.9763370284552617
6,8,10,-1.040473808526879
6,6,11,0.1342365637247996
6,9,12,-0.44461633154574187
6,7,13,-0.7082439552781997
6,7,14,1.0302133108126903
6,7,15,-1.4605661440966018
6,7,16,0.4451240839763622
6,6,17,-0.21193964685673472
6,9,18,-0.4549067782081989
6,10,19,1.0974500849890758
6,10,20,0.40805015470232114
8,行,目
9,8,1,-0.34298822105684773
9,9,2,1.8783385717286911
9,10,3,1.9891436564782026
9,9,4,-0.16531519598461297
9,8,5,-0.013057490269277366
9,6,6,1.5921863133525076
9,6,7,0.16272173322773062
9,9,8,0.0
9,8,9,-1.7531650864159691
9,8,10,-0.4875768279472387
9,6,11,0.23481467553382868
9,9,12,-0.3312813267231456
9,7,13,-0.19138537047088622
9,7,14,1.0668456435094893
9,7,15,-0.6817526156120205
9,7,16,0.45871346815180986
9,6,17,0.014617698237649563
9,9,18,-0.24674065409918242
9,10,19,1.1338830942571343
9,10,20,0.5408799700485348
9,行,目
8,8,1,1.1584362980956122
8,9,2,3.4870339137471413
8,10,3,3.071500217818378
8,9,4,2.5822828519933645
8,8,5,1.8143259631993651
8,6,6,4.612183455625741
8,6,7,2.9763370284552617
8,9,8,1.7531650864159691
8,8,9,0.0
8,8,10,1.9380390919133141
8,6,11,3.034804466114345
8,9,12,0.9838635499122225
8,7,13,2.6373565173901246
8,7,14,2.8790565229482628
8,7,15,1.6188004366688613
8,7,16,3.1217149644703412
8,6,17,2.288040295001326
8,9,18,1.5776730857995724
8,10,19,3.3890355882893908
8,10,20,2.3045495163961935
10,行,目
8,8,1,0.030823066110155145
8,9,2,2.4789022736808266
8,10,3,2.328259934197536
8,9,4,0.5402245314939113
8,8,5,0.4933150721208403
8,6,6,3.0318094421206485
8,6,7,1.040473808526879
8,9,8,0.4875768279472387
8,8,9,-1.9380390919133141
8,8,10,0.0
8,6,11,1.1414466282442426
8,9,12,0.009739176729131847
8,7,13,0.5030873320014514
8,7,14,1.7383253404052061
8,7,15,-0.34773539233960243
8,7,16,1.377158347687054
8,6,17,0.6571543871376245
8,9,18,0.21899778078022186
8,10,19,1.95631821963106
8,10,20,1.0928938144922877
11,行,目
