Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.012631064,0.001600057,-0.000705242,0.000553131,0.001833985
0.017438043,0.00311777,-0.001374245,0.001078129,0.00357371
0.022245022,0.004645735,-0.002047539,0.001607418,0.005325323
0.027052001,-0.062772185,-0.261285305,0.187919617,0.327908737
0.03185898,-0.049746335,-0.218871117,0.15748167,0.274189241
0.037047314,0.048446178,-0.190917015,0.129804611,0.235893145
0.042235647,0.059959531,-0.120162487,0.131326199,0.187831677
0.04742398,0.162654772,-0.069821358,0.011331558,0.177369674
0.05243898,0.233310997,0.017747402,-0.066396236,0.24322305
0.057380282,0.291150421,0.125845909,-0.205217838,0.377783167
0.062322366,0.32245326,0.149172783,-0.25737381,0.438713919
0.067265282,0.342550516,0.193846703,-0.320581913,0.507631917
0.072207366,0.374362439,0.220922947,-0.36340189,0.56658196
0.077148668,0.314354718,0.265203476,-0.356074333,0.544004323
0.082090751,0.284187496,0.231589317,-0.368752956,0.519975853
0.087033668,0.234373599,0.250433922,-0.296507359,0.453392487
0.091975751,0.190380603,0.221912861,-0.287666321,0.410173139
0.096917053,0.119805455,0.168850899,-0.21929121,0.301583501
0.101859189,0.025526948,0.07596302,-0.134670734,0.1567106
0.106802053,-0.030231059,-0.000733376,-0.043145657,0.052687783
0.111744189,-0.088385537,-0.060459137,0.078556061,0.132809507
0.116685491,-0.096421503,-0.111250401,0.188544273,0.239212669
0.121627574,-0.079493314,-0.156223774,0.317724705,0.362869181
0.126570491,-0.045172267,-0.154470444,0.339404106,0.375628538
0.131512574,-0.062943898,-0.133128643,0.331439495,0.362680726
0.136453876,0.007296652,-0.111152649,0.250961781,0.274572336
0.141395959,0.05645594,-0.09754324,0.222531796,0.249444095
0.146338876,0.122479551,-0.01545763,0.105408669,0.162330422
0.151280959,0.103283599,0.001479149,0.033912182,0.108718562
0.156222261,0.112883665,0.039134026,0.00154686,0.11948467
0.161164397,0.104006365,0.057555199,-0.055633068,0.131243907
0.166107261,0.116575718,0.071243286,-0.07427454,0.155506306
0.171049397,0.052310158,0.059537888,-0.192705154,0.208365998
0.175990699,0.005918033,0.053281307,-0.129132271,0.139817968
0.180932782,-0.028154969,0.119945049,-0.14928627,0.193561121
0.185875699,-0.052559845,0.131689072,-0.127346039,0.190582167
0.190817782,0.000191405,0.10158205,-0.080663204,0.129713153
0.195759084,0.058163729,0.093220234,0.01847887,0.111420375
0.200701168,0.020955939,0.075701237,0.035852432,0.086343648
0.205644084,0.120006114,0.102899551,0.045912743,0.164613988
0.210586168,0.153782815,0.101652622,0.121072292,0.220546842
0.21552747,0.16389899,0.105172634,0.231970787,0.302877216
0.220469553,0.139502615,0.071097851,0.356955528,0.389786009
0.22541247,0.161175489,0.021018028,0.453895092,0.482120369
0.230354553,0.14369683,-0.016575336,0.462528706,0.484619773
0.235295855,0.104150489,-0.004631519,0.415289879,0.428175734
0.240237991,0.070812918,0.011333466,0.357795715,0.364911894
0.245180855,0.05027125,0.038331985,0.262022495,0.269540957
0.250122939,-0.01205121,0.045897961,0.144908905,0.152480967
0.255064241,-0.066360794,0.06272316,0.055967331,0.107099449
0.260006376,-0.110973835,0.100472927,-0.045398235,0.156432097
0.264949241,-0.139179885,0.046032906,-0.090912342,0.172496733
0.269891324,-0.125611454,0.077394009,-0.095805168,0.175916742
0.274832678,-0.092296652,0.033178329,-0.060818672,0.115405305
0.279774761,-0.044002689,0.020516396,-0.000747681,0.04855634
0.284717626,-0.025246419,-0.020049095,0.081723213,0.087852328
0.289659761,-0.002278462,0.00590992,0.146360874,0.146497864
0.294601064,0.030062087,-0.072125912,0.254668236,0.266386536
0.299543147,0.048327513,-0.017093182,0.264757633,0.269674488
0.304486064,0.15182139,-0.017083645,0.326534748,0.360508706
0.309428147,0.174486294,0.027722359,0.34262085,0.385490652
0.314369449,0.20485723,0.050573349,0.358576298,0.416054215
0.319311532,0.158193499,0.04932785,0.341513157,0.379591433
0.324254449,0.200320244,0.033829212,0.235318661,0.310881791
0.329196532,0.16937694,0.009002686,0.145037174,0.223171185
0.334137834,0.104129434,0.015020847,0.122301579,0.161326504
0.339079918,-0.000109125,0.058743,-0.027483463,0.064854396
0.344022834,-0.037008032,0.031013966,-0.101928711,0.112787068
0.348964918,-0.097503379,0.02974081,-0.189557076,0.215228506
0.35390622,-0.155716181,-0.006773949,-0.23124361,0.278867393
0.358848303,-0.166918337,0.004528046,-0.255940437,0.30559408
0.36379122,-0.096557096,0.046372414,-0.268548965,0.289123192
0.368733303,-0.047602739,0.040425777,-0.28813076,0.2948213
0.373674605,0.00636578,0.044015884,-0.295701504,0.299027257
0.378616689,0.006550983,0.106539726,-0.144870281,0.17994729
0.383559605,0.022659723,0.026303768,-0.05496645,0.065012782
0.388501689,0.024246871,0.024813175,0.003250599,0.034844954
0.393442991,-0.000126781,-0.014708996,0.025443077,0.029389127
0.398385074,0.051713847,-0.008867741,0.052127361,0.073960939
0.403327991,0.087173827,-0.029016018,0.092617512,0.13045769
0.408270074,0.111502804,0.050729752,0.148955822,0.19285803
0.413211376,0.122668095,0.061304569,0.133418083,0.191327198
0.418153459,0.144438401,0.105301857,0.150907993,0.233931946
0.423096376,0.152914777,0.149312019,0.165485859,0.270300902
0.428038459,0.150452122,0.136415005,0.139427185,0.246342921
0.432979761,0.117886908,0.152271271,0.096989632,0.215617373
0.437921845,0.121390276,0.097101688,0.07388258,0.172113255
0.442864761,0.110443428,0.14672184,0.025006771,0.185338576
0.447806845,0.115684882,0.162710667,0.023994446,0.201080796
0.452748147,0.077508517,0.121529579,-0.014757633,0.144895813
0.45769023,0.067311421,0.11122036,0.060840607,0.143535275
0.462633147,0.089634255,0.043679237,0.064945698,0.118996298
