"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.806017500E-2,-4.899978638E-3,-5.831241608E-3,1.028251648E-2,1.279622266E-2
2.327434200E-2,-9.404659271E-3,-1.120615005E-2,1.978874207E-2,2.460934228E-2
2.821694600E-2,-1.330041885E-2,-1.586627960E-2,2.805376053E-2,3.486622219E-2
3.315871700E-2,2.203304768E-1,4.942560196E-2,3.892488480E-1,4.500034164E-1
3.810126900E-2,8.613634109E-2,4.104518890E-2,3.448033333E-1,3.577618138E-1
4.304465400E-2,-4.421901703E-2,6.802749634E-2,2.482128143E-1,2.611372492E-1
4.798720700E-2,-1.544330120E-1,1.220417023E-2,3.131518364E-1,3.493745406E-1
5.292897700E-2,-2.900669575E-1,-4.436779022E-2,2.462186813E-1,3.830547998E-1
5.787158200E-2,-3.227331638E-1,-3.748369217E-2,7.464504242E-2,3.333670718E-1
6.281496700E-2,-3.487675190E-1,-5.341196060E-2,1.308288574E-1,3.763081314E-1
6.775751900E-2,-3.685986996E-1,4.456996918E-3,1.459946632E-1,3.964836792E-1
7.269929000E-2,-2.869338989E-1,4.343986511E-4,1.520199776E-1,3.247172996E-1
7.764189400E-2,-2.010025978E-1,-4.352855682E-2,2.455544472E-1,3.203026165E-1
8.258522700E-2,-1.033854485E-1,-1.087093353E-2,3.545346260E-1,3.694611335E-1
8.752783200E-2,-7.276511192E-2,-3.201007843E-2,3.841447830E-1,3.922838525E-1
9.246960200E-2,-4.410958290E-2,2.704191208E-2,3.659720421E-1,3.696112226E-1
9.741220700E-2,9.542942047E-3,4.262590408E-2,3.649539948E-1,3.675587759E-1
1.023555400E-1,6.157398224E-3,8.203220367E-2,3.132357597E-1,3.238577422E-1
1.072981440E-1,3.272271156E-2,8.493566513E-2,2.586183548E-1,2.741683725E-1
1.122399150E-1,7.738351822E-3,7.591056824E-2,2.147073746E-1,2.278630140E-1
1.171824670E-1,6.371426582E-2,9.211540222E-2,1.029691696E-1,1.521427122E-1
1.221258520E-1,1.309185028E-1,1.990642548E-1,1.510620117E-3,2.382614402E-1
1.270684570E-1,1.978185177E-1,2.210860252E-1,2.667093277E-2,2.978632826E-1
1.320102270E-1,2.003476620E-1,2.902574539E-1,-2.425622940E-2,3.535207772E-1
1.369527790E-1,1.871178150E-1,2.275247574E-1,-7.726192474E-2,3.045488416E-1
1.418961650E-1,1.099891663E-1,1.136045456E-1,3.868579865E-3,1.581726126E-1
1.468387170E-1,-2.241373062E-2,9.806346893E-2,-7.423257828E-2,1.250171786E-1
1.517805400E-1,-4.685759544E-2,7.106733322E-2,-7.653236389E-3,8.546795966E-2
1.567230920E-1,-1.221263409E-1,-1.802206039E-2,-4.817962646E-3,1.235429098E-1
1.616664770E-1,-1.563210487E-1,-1.025104523E-1,8.158206940E-3,1.871128522E-1
1.666090290E-1,-1.600432396E-1,-1.757125854E-1,2.168273926E-2,2.386606218E-1
1.715508000E-1,-1.969337463E-1,-2.055692673E-1,3.250122070E-3,2.846966585E-1
1.764934040E-1,-1.870715618E-1,-2.515416145E-1,3.288841248E-2,3.151993032E-1
1.814367900E-1,-3.087785244E-1,-3.527560234E-1,1.093325615E-1,4.813881990E-1
1.863793420E-1,-3.493745327E-1,-4.192309380E-1,6.378746033E-2,5.494415197E-1
1.913211130E-1,-3.807322979E-1,-4.777064323E-1,1.884188652E-1,6.392669137E-1
1.962637170E-1,-4.453089237E-1,-5.795893669E-1,2.316637039E-1,7.667411190E-1
2.012071020E-1,-4.770648479E-1,-6.256146431E-1,1.463217735E-1,8.002465946E-1
2.061496540E-1,-4.603898525E-1,-6.450319290E-1,1.313490868E-1,8.032917206E-1
2.110914250E-1,-4.052889347E-1,-6.008100510E-1,1.260042191E-1,7.356010475E-1
2.160340290E-1,-3.382468224E-1,-5.875697136E-1,4.076766968E-2,6.791988546E-1
2.209774150E-1,-2.850627899E-1,-5.575227737E-1,1.501607895E-2,6.263528718E-1
2.259199670E-1,-2.008175850E-1,-5.177493095E-1,-1.149272919E-2,5.554494872E-1
2.308617380E-1,-1.116318703E-1,-5.431003571E-1,-2.282142639E-2,5.549238595E-1
2.358043420E-1,-1.180081367E-1,-5.454778671E-1,-1.247692108E-2,5.582362380E-1
2.407476750E-1,-4.897189140E-2,-5.558843613E-1,3.310871124E-2,5.590186544E-1
2.456902790E-1,-4.902839661E-2,-5.556011200E-1,1.979126930E-1,5.918325965E-1
2.506320500E-1,-1.028733253E-1,-5.990147591E-1,2.618546486E-1,6.617926107E-1
2.555746540E-1,-1.065585613E-1,-6.926088333E-1,4.622211456E-1,8.394701367E-1
2.605179880E-1,-1.437208652E-1,-8.194642067E-1,7.879548073E-1,1.145883961E0
2.654605920E-1,-2.516744137E-1,-9.068522453E-1,1.162715435E0,1.495870378E0
2.704023630E-1,-2.790682316E-1,-9.983611107E-1,1.412725925E0,1.752255268E0
2.753449670E-1,-3.401486874E-1,-9.861326218E-1,1.695831776E0,1.990980685E0
2.802883000E-1,-3.260159492E-1,-1.100273609E0,1.809489727E0,2.142694912E0
2.852309040E-1,-2.824716568E-1,-1.051527500E0,1.885782242E0,2.177538745E0
2.901726750E-1,-3.108415604E-1,-1.011979103E0,1.842724323E0,2.125172255E0
2.951152790E-1,-2.706744671E-1,-9.458680153E-1,1.761763573E0,2.017855757E0
3.000586130E-1,-2.026741505E-1,-8.624124527E-1,1.618994236E0,1.845528213E0
3.050012170E-1,-2.175951004E-1,-7.944006920E-1,1.414679050E0,1.636990196E0
3.099429880E-1,-1.796147823E-1,-6.821117401E-1,1.269085407E0,1.451935146E0
3.148855920E-1,-2.166261673E-1,-6.483168602E-1,1.142988682E0,1.331790064E0
3.198289250E-1,-2.615535259E-1,-5.901145935E-1,1.056926250E0,1.238441997E0
3.247715290E-1,-2.836828232E-1,-6.206803322E-1,9.439158440E-1,1.164773428E0
3.297133000E-1,-3.400201797E-1,-6.018056870E-1,8.867559433E-1,1.124330872E0
3.346559040E-1,-2.888965607E-1,-6.048145294E-1,9.341573715E-1,1.149744247E0
3.395992900E-1,-2.589707375E-1,-6.130652428E-1,9.289941788E-1,1.142779515E0
3.445418420E-1,-1.033582687E-1,-5.890750885E-1,9.737105370E-1,1.142718076E0
3.494836130E-1,1.356363297E-2,-5.430464745E-1,1.067873001E0,1.198096904E0
3.544262170E-1,1.208577156E-1,-5.158658028E-1,1.187660217E0,1.300484873E0
3.593696020E-1,1.572079659E-1,-4.841427803E-1,1.338088512E0,1.431638727E0
3.643121540E-1,1.729919910E-1,-4.956264496E-1,1.396626472E0,1.492024568E0
3.692539250E-1,1.091725826E-1,-5.148053169E-1,1.457311153E0,1.549418912E0
3.741965290E-1,8.694028854E-2,-4.899077415E-1,1.518243790E0,1.597695970E0
3.791399150E-1,4.616427422E-2,-4.098978043E-1,1.499588013E0,1.555285041E0
3.840824670E-1,3.647208214E-2,-4.150838852E-1,1.492462635E0,1.549538500E0
3.890242380E-1,7.753610611E-3,-3.766226768E-1,1.472964764E0,1.520371650E0
3.939668420E-1,-4.947614670E-2,-3.683013916E-1,1.287683964E0,1.340232739E0
3.989102270E-1,-7.363963127E-2,-2.690448761E-1,1.288506985E0,1.318354349E0
4.038527790E-1,-2.751231194E-2,-1.484723091E-1,1.194161892E0,1.203670876E0
4.087945500E-1,1.166579723E-1,-3.511142731E-2,1.024482727E0,1.031700903E0
4.137371540E-1,3.129725456E-1,9.004449844E-2,1.042793751E0,1.092464477E0
4.186805400E-1,4.454693794E-1,2.078661919E-1,1.043221951E0,1.153240374E0
4.236230920E-1,5.200028419E-1,3.089985847E-1,9.903097153E-1,1.160429409E0
4.285648630E-1,4.972314835E-1,3.392543793E-1,1.009945869E0,1.175722476E0
4.335074670E-1,5.511093140E-1,3.636031151E-1,9.471855164E-1,1.154594779E0
4.384508520E-1,5.127751827E-1,3.327064514E-1,8.476057053E-1,1.045020288E0
4.433934040E-1,5.064666271E-1,3.776431084E-1,8.225250244E-1,1.037145206E0
4.483352270E-1,4.701254368E-1,3.463010788E-1,7.928256989E-1,9.846395037E-1
4.532777790E-1,4.751138687E-1,3.249111176E-1,7.749662399E-1,9.653357424E-1
4.582211650E-1,4.500224590E-1,3.178882599E-1,8.352737427E-1,1.000627495E0
4.631637690E-1,5.371952057E-1,2.897315025E-1,8.117389679E-1,1.015599914E0
4.681055400E-1,5.411896706E-1,2.642626762E-1,7.906179428E-1,9.938801503E-1
4.730480920E-1,7.116925716E-1,3.242955208E-1,8.003258705E-1,1.119015371E0
4.779914770E-1,8.384759426E-1,3.999657631E-1,7.816076279E-1,1.214053130E0
4.829340820E-1,9.647727013E-1,4.435367584E-1,7.727994919E-1,1.313289867E0
4.878758520E-1,1.078722239E0,5.049824715E-1,8.023786545E-1,1.436126899E0
4.928184040E-1,1.195039272E0,4.938340187E-1,8.368301392E-1,1.540219329E0
