"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.049797000E-3,-1.218490005E-1,3.109163046E-2,-5.960273743E-2,1.391630508E-1
1.185677600E-2,-1.008964777E-1,2.178370953E-2,-4.804706573E-2,1.138558287E-1
1.666375500E-2,-8.763444424E-2,1.494193077E-2,-4.042339325E-2,9.765811709E-2
2.186583900E-2,-7.906699181E-2,9.238153696E-3,-3.507900238E-2,8.699120119E-2
2.680833900E-2,-7.301336527E-2,4.625052214E-3,-3.111267090E-2,7.950057174E-2
3.175000500E-2,-1.345801353E-2,1.549762487E-2,1.974954605E-1,1.985591887E-1
3.669245300E-2,7.643282413E-3,-5.856695771E-2,1.708526611E-1,1.807737263E-1
4.163573400E-2,2.471780777E-2,-4.814684391E-2,1.679487228E-1,1.764535693E-1
4.657818200E-2,6.690382957E-2,-5.875501037E-2,2.083854675E-1,2.266115106E-1
5.151984900E-2,5.989629030E-2,-2.255830169E-2,1.366767883E-1,1.509204659E-1
5.646229700E-2,7.152509689E-2,-3.577327728E-2,1.198158264E-1,1.440534592E-1
6.140557800E-2,6.933403015E-2,-6.617283821E-2,1.136360168E-1,1.486579852E-1
6.634807800E-2,4.065263271E-2,-8.150553703E-2,8.815383911E-2,1.267552305E-1
7.128969300E-2,2.958840132E-2,-1.030189097E-1,6.902408600E-2,1.274860529E-1
7.623219300E-2,7.932901382E-3,-1.191763282E-1,2.859020233E-2,1.228142003E-1
8.117547400E-2,-3.750932217E-2,-1.257822812E-1,2.439212799E-2,1.335032112E-1
8.611792200E-2,-3.074759245E-2,-7.099926472E-2,1.137447357E-2,7.820286875E-2
9.105958900E-2,-5.630594492E-2,-9.880641103E-2,1.496696472E-2,1.147042995E-1
9.600203700E-2,-4.662269354E-2,-7.078644633E-2,6.170272827E-4,8.476306542E-2
1.009453180E-1,-4.990345240E-2,-4.122090340E-2,5.112457275E-2,8.248175178E-2
1.058877660E-1,-6.113564968E-2,-4.910552502E-2,4.925537109E-2,9.260135977E-2
